vehicle,train_orders,train_holders,test_orders,test_holders,single_or_multiple,is_sibling_set,holders_all_sizes_train,orders_all_sizes_train,parent_type
SOL|3600|797FSS000115R3,104,19,87,9,M,True,39,1054,C
SOL|3600|SPE2D115R0001,89,5,626,10,M,True,9,454,B
SOL|3600|VA11815R0558,213,28,119,26,M,True,28,237,B
SOL|3600|VA25815R0002,36,14,24,9,M,True,31,107,B
SOL|4730|3FNGMG060002B,178,58,10,8,M,True,372,19173,C
SOL|4730|3FNJC1000001B,318,59,33,9,M,True,203,16431,C
SOL|4730|3QSAJB100001B,1727,117,23,10,M,True,287,43731,C
SOL|4730|47QSMD20R0001,92,10,43,4,M,True,21,1642,C
SOL|4730|7FCBC4070066B,525,62,52,9,M,True,193,22517,C
SOL|4730|7FCBH2070541B,195,63,16,12,M,True,162,1028,C
SOL|4730|7FCIF8030056B,357,66,17,7,M,True,275,12127,C
SOL|4730|7FCIL3030084B,860,171,35,17,M,True,478,26788,C
SOL|4730|FBGTGG050001B,108,19,17,7,M,True,79,2975,C
SOL|4730|FCISJB980001B,4693,465,142,48,M,True,929,81840,C
SOL|4730|FCO00CORP0000C,1117,188,45,21,M,True,350,10847,C
SOL|4730|FCXBF4020002B,495,85,19,12,M,True,145,1601,C
SOL|4730|FFAHC2990235B,437,42,17,5,M,True,101,3051,C
SOL|4730|TFTPEW990899B,390,101,22,16,M,True,236,2938,C
SOL|4730|TFTPMC000874B,2571,337,74,34,M,True,626,7275,C
SOL|4730|TFTPMC990871B,678,129,17,9,M,True,204,2488,C
SOL|4732|2FYAAR060004B,48,24,32,21,M,True,59,551,C
SOL|4732|3FNGRG020001B,39,13,16,9,M,True,72,1330,C
SOL|4732|3FNJC1000001B,42,22,114,36,M,True,110,1951,C
SOL|4732|3QSAJB100001B,454,96,401,67,M,True,281,10967,C
SOL|4732|6FECE6030292B,156,70,201,81,M,True,253,1826,C
SOL|4732|6FECE6060173B,46,17,67,21,M,True,142,6365,C
SOL|4732|7FCBC4070066B,307,39,146,36,M,True,160,10786,C
SOL|4732|7FCBH2070541B,71,32,29,11,M,True,105,407,C
SOL|4732|7FCIF8030056B,164,56,116,43,M,True,302,4491,C
SOL|4732|7FCIL3030084B,235,99,391,114,M,True,436,6351,C
SOL|4732|7FCMN6030736B,73,28,14,8,M,True,112,821,C
SOL|4732|FBGTGG050001B,61,25,15,12,M,True,121,952,C
SOL|4732|FCISJB980001B,2239,526,2389,802,M,True,1374,30344,C
SOL|4732|FCO00CORP0000C,899,261,1280,489,M,True,468,2531,C
SOL|4732|FCXBF4020002B,55,27,30,14,M,True,57,226,C
SOL|4732|FFAHC2990235B,119,24,318,33,M,True,98,1578,C
SOL|4732|GS00Q13DR0001,234,52,430,83,M,True,57,334,B
SOL|4732|GS00Q13DR0002,503,83,804,240,M,True,100,954,B
SOL|4732|QTA0015MDA2001,1410,314,559,239,M,True,363,2765,A
SOL|4732|TFTPEW990899B,56,32,24,14,M,True,154,665,C
SOL|4732|TFTPMC000874B,443,201,142,79,M,True,376,1728,C
SOL|4732|TFTPMC990871B,114,51,49,15,M,True,122,535,C
SOL|4740|GS07P15HHD0002,35,6,18,5,M,True,6,48,B
SOL|7001|HSHQDC12R00005,660,21,551,15,M,True,21,6153,B
SOL|7529|NIHJT2010001,301,56,157,35,M,True,58,437,A
SOL|7529|NIHJT2010002,410,79,258,64,M,True,88,913,A
SOL|7529|NIHJT2014002,447,53,595,50,M,True,65,5027,A
SOL|7555|14233SOL00009,34,14,18,11,M,True,20,49,B
SOL|8000|NNG13451284R,4379,131,9011,137,M,True,144,37335,A
SOL|9700|FA251713R5000,176,3,34,3,M,True,3,530,B
SOL|9700|FA489014R0023,39,10,37,7,M,True,15,62,B
SOL|9700|FA520515R0006,33,6,19,6,M,True,6,50,B
SOL|9700|FA520911R0004,37,6,17,4,M,True,8,80,B
SOL|9700|FA527014R0019,47,8,26,5,M,True,8,109,B
SOL|9700|FA805614R0001,76,19,27,10,M,True,26,154,B
SOL|9700|FA810814R0001,31,7,65,9,M,True,16,56,B
SOL|9700|FA877108R0016,981,15,14,5,M,True,15,7790,B
SOL|9700|FA890315R0038,122,13,25,10,M,True,13,169,B
SOL|9700|FA890315R0049,36,5,13,3,M,True,5,60,B
SOL|9700|H9222214R0021,44,11,50,6,M,True,32,125,B
SOL|9700|H9222215R0010,65,4,41,4,M,True,4,92,B
SOL|9700|HDTRA112R0016,46,7,25,5,M,True,8,60,B
SOL|9700|HQ072715R0001,100,8,175,7,M,True,8,119,B
SOL|9700|HTC71115RW002,88,22,85,14,M,True,29,152,B
SOL|9700|N0002415R4405,71,3,27,3,M,True,3,94,B
SOL|9700|N0003910R0001,450,4,11,2,M,True,4,1043,B
SOL|9700|N0003913R0013,33,6,34,4,M,True,6,33,B
SOL|9700|N4008415R0100,44,4,10,5,M,True,5,48,B
SOL|9700|N5523615R0008,51,7,39,8,M,True,10,183,B
SOL|9700|N6247813R4010,78,6,17,3,M,True,6,91,B
SOL|9700|N6247815R4029,58,6,10,3,M,True,6,66,B
SOL|9700|N6523613R0016,98,16,98,11,M,True,21,321,B
SOL|9700|N6554012R0018,152,4,27,3,M,True,4,209,B
SOL|9700|N6554013R0052,94,7,44,6,M,True,7,125,B
SOL|9700|SPM8EC11R0001,57,9,58,5,M,True,15,286,B
SOL|9700|W52P1J11R0171,611,17,837,17,M,True,17,5318,B
SOL|9700|W52P1J13R0098,30,3,13,2,M,True,3,378,B
SOL|9700|W90FYQ14R0001,34,6,58,6,M,True,6,113,B
SOL|9700|W9124D14R0004,46,4,16,3,M,True,4,92,B
SOL|9700|W9127815R0044,34,7,16,3,M,True,7,38,B
SOL|9700|W912DY12R0025,64,9,24,7,M,True,10,84,B
