label,horizon,vehicle,n_holders,oracle_gap,recovered_gap,train_gap,n_test_orders
schedule_slip_gt90,12,SOL|3600|VA11815R0558,12,0.6666666666666667,-0.2222222222222222,0.33333333333333337,77
schedule_slip_gt90,12,SOL|4730|3FNJC1000001B,3,0.4,-0.36363636363636365,0.6607142857142857,21
schedule_slip_gt90,12,SOL|4730|3QSAJB100001B,2,0.0,0.0,0.35,10
schedule_slip_gt90,12,SOL|4730|47QSMD20R0001,2,0.4111111111111111,-0.4111111111111111,0.07575757575757575,39
schedule_slip_gt90,12,SOL|4730|7FCBC4070066B,3,0.030303030303030304,0.0,0.09090909090909091,45
schedule_slip_gt90,12,SOL|4730|7FCIL3030084B,2,0.6000000000000001,0.6000000000000001,0.55,10
schedule_slip_gt90,12,SOL|4730|FCISJB980001B,13,1.0,-0.5,0.6,93
schedule_slip_gt90,12,SOL|4730|FCO00CORP0000C,5,1.0,1.0,0.6,20
schedule_slip_gt90,12,SOL|4730|FFAHC2990235B,3,0.3333333333333333,0.0,0.0,15
schedule_slip_gt90,12,SOL|4730|TFTPMC000874B,6,0.625,0.0,0.6666666666666666,36
schedule_slip_gt90,12,SOL|4732|3QSAJB100001B,11,0.6842105263157895,-0.25,0.8,178
schedule_slip_gt90,12,SOL|4732|6FECE6030292B,7,1.0,0.0,0.55,29
schedule_slip_gt90,12,SOL|4732|7FCBC4070066B,5,0.2727272727272727,-0.17647058823529413,0.4,87
schedule_slip_gt90,12,SOL|4732|7FCBH2070541B,3,0.23809523809523808,0.16666666666666669,0.4166666666666667,19
schedule_slip_gt90,12,SOL|4732|7FCIF8030056B,6,0.8,0.050000000000000044,0.6666666666666666,29
schedule_slip_gt90,12,SOL|4732|7FCIL3030084B,11,0.6666666666666666,0.16666666666666669,0.4,102
schedule_slip_gt90,12,SOL|4732|FCISJB980001B,39,1.0,0.29166666666666663,0.75,615
schedule_slip_gt90,12,SOL|4732|FCO00CORP0000C,38,0.8333333333333334,0.16666666666666669,1.0,364
schedule_slip_gt90,12,SOL|4732|FFAHC2990235B,7,1.0,1.0,0.75,123
schedule_slip_gt90,12,SOL|4732|GS00Q13DR0001,21,0.8333333333333334,0.3311688311688311,0.8571428571428572,263
schedule_slip_gt90,12,SOL|4732|GS00Q13DR0002,20,0.8333333333333334,0.25,0.6153846153846154,153
schedule_slip_gt90,12,SOL|4732|QTA0015MDA2001,42,1.0,0.16666666666666669,1.0,206
schedule_slip_gt90,12,SOL|4732|TFTPEW990899B,2,0.16666666666666674,-0.16666666666666674,0.6666666666666666,9
schedule_slip_gt90,12,SOL|4732|TFTPMC000874B,4,0.26666666666666666,0.17142857142857143,0.35,26
schedule_slip_gt90,12,SOL|4732|TFTPMC990871B,2,0.375,0.375,0.043478260869565216,20
schedule_slip_gt90,12,SOL|4740|GS07P15HHD0002,3,0.35,0.0,0.4583333333333333,13
schedule_slip_gt90,12,SOL|7001|HSHQDC12R00005,10,0.2,0.07391304347826086,0.14439655172413793,493
schedule_slip_gt90,12,SOL|7529|NIHJT2010001,11,0.6,-0.2666666666666666,0.4666666666666666,107
schedule_slip_gt90,12,SOL|7529|NIHJT2010002,22,1.0,0.0,0.75,142
schedule_slip_gt90,12,SOL|7529|NIHJT2014002,30,0.5,0.16666666666666666,0.5,447
schedule_slip_gt90,12,SOL|8000|NNG13451284R,95,0.6666666666666666,-0.16666666666666666,0.6666666666666666,7956
schedule_slip_gt90,12,SOL|9700|FA251713R5000,3,0.2272727272727273,-0.2272727272727273,0.1454545454545454,34
schedule_slip_gt90,12,SOL|9700|FA489014R0023,4,0.6666666666666666,-0.13636363636363635,0.6,30
schedule_slip_gt90,12,SOL|9700|FA520515R0006,3,0.5,0.2,0.8888888888888888,12
schedule_slip_gt90,12,SOL|9700|FA520911R0004,3,0.0,0.0,0.18181818181818182,16
schedule_slip_gt90,12,SOL|9700|FA527014R0019,2,0.09090909090909091,0.0,0.0,14
schedule_slip_gt90,12,SOL|9700|FA805614R0001,4,0.625,-0.2916666666666667,0.45238095238095233,21
schedule_slip_gt90,12,SOL|9700|FA810814R0001,4,0.5,0.2142857142857143,0.6666666666666666,50
schedule_slip_gt90,12,SOL|9700|FA877108R0016,2,0.2,0.2,0.01402517064846416,10
schedule_slip_gt90,12,SOL|9700|FA890315R0038,5,1.0,0.0,0.1333333333333333,17
schedule_slip_gt90,12,SOL|9700|FA890315R0049,3,0.08333333333333331,0.0,0.2916666666666667,13
schedule_slip_gt90,12,SOL|9700|H9222214R0021,4,0.19047619047619047,0.10714285714285715,0.25,41
schedule_slip_gt90,12,SOL|9700|H9222215R0010,3,0.2,0.10344827586206896,0.26666666666666666,39
schedule_slip_gt90,12,SOL|9700|HQ072715R0001,4,0.09259259259259259,0.04472271914132381,0.23546511627906977,165
schedule_slip_gt90,12,SOL|9700|HTC71115RW002,8,0.0,0.0,0.0,78
schedule_slip_gt90,12,SOL|9700|N0002415R4405,2,0.033333333333333354,0.033333333333333354,0.03125,26
schedule_slip_gt90,12,SOL|9700|N0003910R0001,2,0.0357142857142857,0.0357142857142857,0.04655488312697792,11
schedule_slip_gt90,12,SOL|9700|N0003913R0013,2,0.2,0.0,0.0,20
schedule_slip_gt90,12,SOL|9700|N4008415R0100,2,0.3333333333333333,0.3333333333333333,0.13333333333333333,6
schedule_slip_gt90,12,SOL|9700|N5523615R0008,4,0.3333333333333333,0.0,0.18181818181818182,29
schedule_slip_gt90,12,SOL|9700|N6247813R4010,2,0.1,0.1,0.125,16
schedule_slip_gt90,12,SOL|9700|N6247815R4029,3,0.3333333333333333,0.0,0.125,10
schedule_slip_gt90,12,SOL|9700|N6523613R0016,5,0.125,-0.125,0.1111111111111111,83
schedule_slip_gt90,12,SOL|9700|N6554012R0018,2,0.11029411764705882,0.11029411764705882,0.08033385498174234,25
schedule_slip_gt90,12,SOL|9700|N6554013R0052,6,0.42857142857142855,0.03030303030303033,0.45,44
schedule_slip_gt90,12,SOL|9700|W52P1J11R0171,15,0.3850931677018633,-0.06643356643356643,0.3,832
schedule_slip_gt90,12,SOL|9700|W52P1J13R0098,2,0.0,0.0,0.09090909090909091,13
schedule_slip_gt90,12,SOL|9700|W90FYQ14R0001,3,0.4117647058823529,0.14285714285714285,0.1111111111111111,27
schedule_slip_gt90,12,SOL|9700|W9124D14R0004,3,0.5,-0.5,0.3,16
schedule_slip_gt90,12,SOL|9700|W9127815R0044,2,0.09090909090909091,0.09090909090909091,0.07500000000000001,15
schedule_slip_gt90,12,SOL|9700|W912DY12R0025,4,0.3333333333333333,0.26666666666666666,0.13888888888888884,19
schedule_slip_gt90,24,SOL|3600|VA11815R0558,12,0.33333333333333337,0.33333333333333337,0.5,77
schedule_slip_gt90,24,SOL|4730|3FNJC1000001B,3,0.19999999999999996,0.14545454545454545,0.6607142857142857,21
schedule_slip_gt90,24,SOL|4730|3QSAJB100001B,2,0.16666666666666669,-0.16666666666666669,0.4,10
schedule_slip_gt90,24,SOL|4730|47QSMD20R0001,2,0.5222222222222223,-0.5222222222222223,0.06313131313131312,39
schedule_slip_gt90,24,SOL|4730|7FCBC4070066B,3,0.06060606060606061,0.06060606060606061,0.13636363636363635,45
schedule_slip_gt90,24,SOL|4730|7FCIL3030084B,2,0.4,0.4,0.42500000000000004,10
schedule_slip_gt90,24,SOL|4730|FCISJB980001B,13,1.0,0.25,0.6545454545454545,93
schedule_slip_gt90,24,SOL|4730|FCO00CORP0000C,5,0.8,0.39999999999999997,0.2,20
schedule_slip_gt90,24,SOL|4730|FFAHC2990235B,3,0.3333333333333333,0.25,0.05405405405405406,15
schedule_slip_gt90,24,SOL|4730|TFTPMC000874B,6,0.875,-0.3076923076923077,0.5512820512820512,36
schedule_slip_gt90,24,SOL|4732|3QSAJB100001B,11,0.6130030959752322,0.08333333333333331,0.8,178
schedule_slip_gt90,24,SOL|4732|6FECE6030292B,7,0.8333333333333334,-0.6666666666666667,0.4,29
schedule_slip_gt90,24,SOL|4732|7FCBC4070066B,5,0.2727272727272727,0.14285714285714285,0.4,87
schedule_slip_gt90,24,SOL|4732|7FCBH2070541B,3,0.380952380952381,0.380952380952381,0.20588235294117652,19
schedule_slip_gt90,24,SOL|4732|7FCIF8030056B,6,1.0,0.5,0.6666666666666666,29
schedule_slip_gt90,24,SOL|4732|7FCIL3030084B,11,0.6666666666666666,-0.3333333333333333,1.0,102
schedule_slip_gt90,24,SOL|4732|FCISJB980001B,39,1.0,0.02777777777777779,0.8,615
schedule_slip_gt90,24,SOL|4732|FCO00CORP0000C,38,0.7142857142857143,0.08333333333333331,1.0,364
schedule_slip_gt90,24,SOL|4732|FFAHC2990235B,7,1.0,1.0,0.75,123
