label,horizon,vehicle,holder,n_train,rate_train,n_test,rate_test
schedule_slip_gt90,36,SOL|3600|797FSS000115R3,MKNJPM6CKSP9,53,0.6792452830188679,70,0.5857142857142857
schedule_slip_gt90,36,SOL|3600|SPE2D115R0001,DJY8WLTGF577,37,0.5405405405405406,303,0.4389438943894389
schedule_slip_gt90,36,SOL|3600|VA11815R0558,D84JK2RNL7V4,18,0.8888888888888888,9,0.8888888888888888
schedule_slip_gt90,36,SOL|3600|VA11815R0558,GLGMWJ8EVMR9,24,0.9166666666666666,9,1.0
schedule_slip_gt90,36,SOL|3600|VA11815R0558,HH52KZGMV2Y6,9,0.5555555555555556,8,0.875
schedule_slip_gt90,36,SOL|3600|VA11815R0558,KHK6E1JW9C15,7,0.8571428571428571,7,1.0
schedule_slip_gt90,36,SOL|3600|VA11815R0558,L73LKJ1JCVM7,12,1.0,4,1.0
schedule_slip_gt90,36,SOL|3600|VA11815R0558,LRN9VLLCX9Y8,6,1.0,8,1.0
schedule_slip_gt90,36,SOL|3600|VA11815R0558,NKKQE6FG4C28,4,1.0,6,0.6666666666666666
schedule_slip_gt90,36,SOL|3600|VA11815R0558,NYM8TAUFLXP3,6,0.6666666666666666,3,0.6666666666666666
schedule_slip_gt90,36,SOL|3600|VA11815R0558,QNL4KMADTD36,16,0.8125,6,0.8333333333333334
schedule_slip_gt90,36,SOL|3600|VA11815R0558,R4WTAS3E7BA4,21,0.8571428571428571,5,1.0
schedule_slip_gt90,36,SOL|3600|VA11815R0558,SVSAKVZJN1S7,12,0.75,8,1.0
schedule_slip_gt90,36,SOL|3600|VA11815R0558,XDDKMXTVJSN8,5,1.0,4,1.0
schedule_slip_gt90,36,SOL|3600|VA25815R0002,CT93GMZBKE24,7,0.5714285714285714,6,0.8333333333333334
schedule_slip_gt90,36,SOL|4730|3FNJC1000001B,CHTAKEYGS386,56,0.21428571428571427,11,0.45454545454545453
schedule_slip_gt90,36,SOL|4730|3FNJC1000001B,K8NNV2MH8AE6,14,0.8571428571428571,5,0.6
schedule_slip_gt90,36,SOL|4730|3FNJC1000001B,N7SFZMRQUPH9,20,0.5,5,0.2
schedule_slip_gt90,36,SOL|4730|3QSAJB100001B,DDJ2GKQM7M84,20,0.4,6,0.3333333333333333
schedule_slip_gt90,36,SOL|4730|3QSAJB100001B,EJDQQK6CAHM7,8,0.0,4,0.5
schedule_slip_gt90,36,SOL|4730|47QSMD20R0001,MCQUYM6GHNJ5,18,0.2777777777777778,30,0.03333333333333333
schedule_slip_gt90,36,SOL|4730|47QSMD20R0001,WD8KKTRJWAZ3,44,0.1590909090909091,9,0.5555555555555556
schedule_slip_gt90,36,SOL|4730|7FCBC4070066B,CMBPHDRMCS51,132,0.14393939393939395,33,0.06060606060606061
schedule_slip_gt90,36,SOL|4730|7FCBC4070066B,KRRTFMX1J3H3,3,0.0,3,0.0
schedule_slip_gt90,36,SOL|4730|7FCBC4070066B,PGCSXZ1SSA68,44,0.09090909090909091,9,0.0
schedule_slip_gt90,36,SOL|4730|7FCBH2070541B,SJGQXJEFBKC5,14,0.7142857142857143,4,1.0
schedule_slip_gt90,36,SOL|4730|7FCIF8030056B,MLC1FHL356S9,11,0.45454545454545453,7,0.5714285714285714
schedule_slip_gt90,36,SOL|4730|7FCIL3030084B,M8BJXXE2NG25,8,0.375,5,0.4
schedule_slip_gt90,36,SOL|4730|7FCIL3030084B,YWLLJBHSE9A4,5,0.8,5,1.0
schedule_slip_gt90,36,SOL|4730|FBGTGG050001B,YDFXJ4HBAGA6,7,0.2857142857142857,5,0.2
schedule_slip_gt90,36,SOL|4730|FCISJB980001B,CGE8ABMZLZN9,22,0.045454545454545456,8,0.25
schedule_slip_gt90,36,SOL|4730|FCISJB980001B,CHRNPLHCSL95,5,0.6,4,0.25
schedule_slip_gt90,36,SOL|4730|FCISJB980001B,E3W3M92ASRQ5,35,0.3142857142857143,31,0.41935483870967744
schedule_slip_gt90,36,SOL|4730|FCISJB980001B,G3FMDEWF7YV3,21,0.47619047619047616,3,0.6666666666666666
schedule_slip_gt90,36,SOL|4730|FCISJB980001B,JJKKJ9PYWAP1,4,0.25,4,1.0
schedule_slip_gt90,36,SOL|4730|FCISJB980001B,N1C5QLNPJLS4,11,0.36363636363636365,10,0.4
schedule_slip_gt90,36,SOL|4730|FCISJB980001B,NUNVJJM2UYY1,32,0.21875,6,0.3333333333333333
schedule_slip_gt90,36,SOL|4730|FCISJB980001B,R2VGJTEMCNL5,10,0.5,4,0.25
schedule_slip_gt90,36,SOL|4730|FCISJB980001B,SJHANNQ8XZT6,10,0.7,4,0.5
schedule_slip_gt90,36,SOL|4730|FCISJB980001B,T5FETBQCPBT3,3,0.3333333333333333,4,0.0
schedule_slip_gt90,36,SOL|4730|FCISJB980001B,UEYLW3YCLYW5,82,0.4268292682926829,3,1.0
schedule_slip_gt90,36,SOL|4730|FCISJB980001B,X5V6UB9HVCD8,15,0.2,3,1.0
schedule_slip_gt90,36,SOL|4730|FCISJB980001B,XTQKKB8LAJ87,6,0.16666666666666666,9,0.2222222222222222
schedule_slip_gt90,36,SOL|4730|FCO00CORP0000C,CM9VW5P6GKB6,5,0.4,5,0.6
schedule_slip_gt90,36,SOL|4730|FCO00CORP0000C,D5LNGW92BF61,5,0.2,5,0.2
schedule_slip_gt90,36,SOL|4730|FCO00CORP0000C,E6JFJLBFNC21,13,0.3076923076923077,3,0.6666666666666666
schedule_slip_gt90,36,SOL|4730|FCO00CORP0000C,EK38FYR4WKJ7,5,0.6,4,1.0
schedule_slip_gt90,36,SOL|4730|FCO00CORP0000C,P9M1N7DNLDB5,4,0.25,3,0.6666666666666666
schedule_slip_gt90,36,SOL|4730|FFAHC2990235B,C33FM23HZW23,37,0.08108108108108109,8,0.25
schedule_slip_gt90,36,SOL|4730|FFAHC2990235B,FU8JCLJBJC45,6,0.0,4,0.0
schedule_slip_gt90,36,SOL|4730|FFAHC2990235B,K84QVFQTYZ93,4,0.0,3,0.3333333333333333
schedule_slip_gt90,36,SOL|4730|TFTPMC000874B,DM8CEGRELZH7,26,0.15384615384615385,13,0.3076923076923077
schedule_slip_gt90,36,SOL|4730|TFTPMC000874B,GX1LCREDG8B8,5,0.2,5,0.4
schedule_slip_gt90,36,SOL|4730|TFTPMC000874B,GZMHL3R9LGZ3,3,0.3333333333333333,3,0.0
schedule_slip_gt90,36,SOL|4730|TFTPMC000874B,UJMMR3K2CDK6,35,0.5714285714285714,3,0.3333333333333333
schedule_slip_gt90,36,SOL|4730|TFTPMC000874B,ULJSBXBHRM15,3,0.6666666666666666,4,0.0
schedule_slip_gt90,36,SOL|4730|TFTPMC000874B,YY46Q97AEZA8,38,0.6842105263157895,8,1.0
schedule_slip_gt90,36,SOL|4730|TFTPMC990871B,GWK3RNGGFCE6,4,1.0,6,1.0
schedule_slip_gt90,36,SOL|4732|3FNGRG020001B,CNASGNNZ9MP8,10,0.0,3,0.0
schedule_slip_gt90,36,SOL|4732|3FNJC1000001B,EFMFNAELHYR5,3,0.6666666666666666,10,0.9
schedule_slip_gt90,36,SOL|4732|3QSAJB100001B,E32XCUALMYL4,9,0.5555555555555556,17,0.5294117647058824
schedule_slip_gt90,36,SOL|4732|3QSAJB100001B,F4NYD5JGEUS8,6,0.0,8,0.25
schedule_slip_gt90,36,SOL|4732|3QSAJB100001B,GFQJBLPZWC44,8,0.375,14,0.5
schedule_slip_gt90,36,SOL|4732|3QSAJB100001B,H1ZPXTA8DZC5,24,0.20833333333333334,17,0.23529411764705882
schedule_slip_gt90,36,SOL|4732|3QSAJB100001B,HCWRS39M4BL5,9,0.2222222222222222,5,0.4
schedule_slip_gt90,36,SOL|4732|3QSAJB100001B,J25LZMLKHLS7,5,0.8,3,0.3333333333333333
schedule_slip_gt90,36,SOL|4732|3QSAJB100001B,M5EMFRYLDKL5,19,0.2631578947368421,68,0.4852941176470588
schedule_slip_gt90,36,SOL|4732|3QSAJB100001B,Q2K3MSZ843D8,11,0.45454545454545453,19,0.7894736842105263
schedule_slip_gt90,36,SOL|4732|3QSAJB100001B,W9Z1CJ2RM4K4,25,0.08,18,0.3333333333333333
schedule_slip_gt90,36,SOL|4732|3QSAJB100001B,YF8MJMNKKNH4,8,0.375,6,0.5
schedule_slip_gt90,36,SOL|4732|3QSAJB100001B,ZU97KH6K6D26,4,0.25,3,0.6666666666666666
schedule_slip_gt90,36,SOL|4732|6FECE6030292B,ECT6DLK37A17,5,0.6,7,1.0
schedule_slip_gt90,36,SOL|4732|6FECE6030292B,GFK7ANN57833,4,1.0,3,0.6666666666666666
schedule_slip_gt90,36,SOL|4732|6FECE6030292B,GJ63QJ2D2MM3,5,0.6,3,0.6666666666666666
schedule_slip_gt90,36,SOL|4732|6FECE6030292B,H294NPGNMEB5,3,1.0,3,0.6666666666666666
schedule_slip_gt90,36,SOL|4732|6FECE6030292B,KLTHNVKLJ731,4,0.75,4,1.0
schedule_slip_gt90,36,SOL|4732|6FECE6030292B,Z1VZG6JVDRQ5,3,0.6666666666666666,6,0.16666666666666666
schedule_slip_gt90,36,SOL|4732|6FECE6030292B,Z28YM74GHC84,4,0.75,3,0.3333333333333333
schedule_slip_gt90,36,SOL|4732|6FECE6060173B,YFJ5M3N6EKY8,25,0.04,7,0.0
schedule_slip_gt90,36,SOL|4732|7FCBC4070066B,HE7NJQGP4ED6,3,0.0,11,0.2727272727272727
schedule_slip_gt90,36,SOL|4732|7FCBC4070066B,JFT8BGF7FKV6,41,0.17073170731707318,17,0.23529411764705882
schedule_slip_gt90,36,SOL|4732|7FCBC4070066B,SD9JZ9S7MEA6,28,0.25,40,0.175
schedule_slip_gt90,36,SOL|4732|7FCBC4070066B,SP3XF3BGBSB3,15,0.0,12,0.0
