GMPP ID Number,Project Name,AR Year,Quarter,Department,MPA RAG (Departmental RAG used if MPA RAG missing),Project - Start Date (Latest Approved Start Date),Project - End Date (Latest Approved End Date),FY Budget (£m) inc Non Gov,FY Forecast (£m) inc Non Gov,Budget Variance (£m),Budget Variance (%),TOTAL BUDGETED WHOLE LIFE COSTS including Non-Government Costs,Gov WLC,Non-Gov WLC,PROJECT CATEGORY,Project Length,Unique ID,Department Grouped,MPA RAG Grouped,Joiner,SRO,Description,source_workbook,snapshot_date,gmpp_id_norm,dca_source,wlc_source,end_source,project_key,name_norm,project_key_by_name,join_route,project_name,dca_published,wlc_baseline_gbp_m,end_date,_merge,matched
BIS_0001_1112-Q1,BIS Shared Services,AR 2013,1213-Q2,BEIS,Amber,2011-05-04 00:00:00,2013-04-30 00:00:00,11.26,11.41,,,15.54,,,,1.9904175222450375,"BIS_0001_1112-Q1,1213-Q2",BEIS,Amber,Joiner,,,2020/beis/BEIS_Government_Major_Projects_Portfolio_data_September_2019.xlsx,2012-09-30,BIS_0001_1112-Q1,Amber,15.54,2013-04-30,BEIS lineage::bis shared services,bis shared services,BEIS lineage::bis shared services,name,BIS Shared Services,Amber,15.54,2013-04-30,both,True
BIS_0005_1112-Q1,Further Education Fee Loans Programme,AR 2013,1213-Q2,BEIS,Amber/Green,2010-11-30 00:00:00,2016-04-01 00:00:00,5.452,5.452,,,576.593,,,,5.336071184120465,"BIS_0005_1112-Q1,1213-Q2",BEIS,Amber/Green,Joiner,,,2020/beis/BEIS_Government_Major_Projects_Portfolio_data_September_2019.xlsx,2012-09-30,BIS_0005_1112-Q1,Amber/Green,576.593,2016-04-01,BEIS lineage::further education 24 learning loans programme,further education fee loans programme,BEIS lineage::further education 24 learning loans programme,name,Further Education Fee Loans Programme,Amber/Green,576.593,2016-04-01,both,True
BIS_0008_1112-Q1,Student Loans Monetisation Feasibility Study,AR 2013,1213-Q2,BEIS,Amber/Red,2010-03-01 00:00:00,2014-12-31 00:00:00,0.12,0.12,,,6.22,,,,4.8350444900752905,"BIS_0008_1112-Q1,1213-Q2",BEIS,Amber/Red,Joiner,,,2020/beis/BEIS_Government_Major_Projects_Portfolio_data_September_2019.xlsx,2012-09-30,BIS_0008_1112-Q1,Amber/Red,6.22,2014-12-31,BIS_0008_1112-Q1,student loans monetisation feasibility study,BEIS lineage::student loans monetisation feasibility study,gmpp_id,,,,,left_only,False
BIS_0009_1112-Q1,The Francis Crick Institute (formerly UKCMRI),AR 2013,1213-Q2,BEIS,Amber/Green,2006-10-01 00:00:00,2017-12-21 00:00:00,58,58,,,753,,,,11.222450376454484,"BIS_0009_1112-Q1,1213-Q2",BEIS,Amber/Green,Joiner,,,2020/beis/BEIS_Government_Major_Projects_Portfolio_data_September_2019.xlsx,2012-09-30,BIS_0009_1112-Q1,Amber/Green,753.0,2017-12-21,BEIS lineage::the francis crick institute,the francis crick institute,BEIS lineage::the francis crick institute,name,The Francis Crick Institute (formerly UKCMRI),Amber/Green,753.0,2017-12-21,both,True
BIS_0011_1213-Q1,Core Systems Replacement,AR 2013,1213-Q2,BEIS,Amber,2012-03-01 00:00:00,2016-03-19 00:00:00,2.91,2.62,,,131.911,,,,4.049281314168378,"BIS_0011_1213-Q1,1213-Q2",BEIS,Amber,Joiner,,,2020/beis/BEIS_Government_Major_Projects_Portfolio_data_September_2019.xlsx,2012-09-30,BIS_0011_1213-Q1,Amber,131.911,2016-03-19,BEIS lineage::core systems replacement,core systems replacement,BEIS lineage::core systems replacement,name,Core Systems Replacement,Amber,131.911,2016-03-19,both,True
BIS_0002_1112-Q1,Business Improvement Programme,AR 2013,1213-Q2,BEIS,Green,2010-08-01 00:00:00,2013-03-14 00:00:00,50.1,50.1,,,206,,,,2.617385352498289,"BIS_0002_1112-Q1,1213-Q2",BEIS,Green,Joiner,,,2020/beis/BEIS_Government_Major_Projects_Portfolio_data_September_2019.xlsx,2012-09-30,BIS_0002_1112-Q1,Green,206.0,2013-03-14,BEIS lineage::business improvement programme,business improvement programme,BEIS lineage::business improvement programme,name,Business Improvement Programme,Green,206.0,2013-03-14,both,True
BIS_0003_1112-Q1,Technology and innovation centres,AR 2013,1213-Q2,BEIS,Amber/Green,2010-12-01 00:00:00,2013-04-01 00:00:00,60,60,,,476,,,,2.3326488706365502,"BIS_0003_1112-Q1,1213-Q2",BEIS,Amber/Green,Joiner,,,2020/beis/BEIS_Government_Major_Projects_Portfolio_data_September_2019.xlsx,2012-09-30,BIS_0003_1112-Q1,Amber/Green,476.0,2013-04-01,BEIS lineage::technology and innovation centres,technology and innovation centres,BEIS lineage::technology and innovation centres,name,Technology and innovation centres,Amber/Green,476.0,2013-04-01,both,True
BIS_0004_1112-Q1,FE Capital Investment Programme,AR 2013,1213-Q2,BEIS,Amber/Green,2010-05-31 00:00:00,2015-03-31 00:00:00,272.66,272.66,,,4578.42,,,,4.832306639288158,"BIS_0004_1112-Q1,1213-Q2",BEIS,Amber/Green,Joiner,,,2020/beis/BEIS_Government_Major_Projects_Portfolio_data_September_2019.xlsx,2012-09-30,BIS_0004_1112-Q1,Amber/Green,4578.42,2015-03-31,BEIS lineage::fe capital investment programme,fe capital investment programme,BEIS lineage::fe capital investment programme,name,FE Capital Investment Programme,Amber/Green,4578.42,2015-03-31,both,True
BIS_0006_1112-Q1,Green Investment Bank,AR 2013,1213-Q2,BEIS,Amber,2010-06-01 00:00:00,2012-09-01 00:00:00,799,329,,,1857,,,,2.2532511978097194,"BIS_0006_1112-Q1,1213-Q2",BEIS,Amber,Joiner,,,2020/beis/BEIS_Government_Major_Projects_Portfolio_data_September_2019.xlsx,2012-09-30,BIS_0006_1112-Q1,Amber,1857.0,2012-09-01,BEIS lineage::green investment bank,green investment bank,BEIS lineage::green investment bank,name,Green Investment Bank,Amber,1857.0,2012-09-01,both,True
BIS_0007_1112-Q1,HE Reform Programme,AR 2013,1213-Q2,BEIS,Amber,2011-06-30 00:00:00,2015-12-31 00:00:00,370,370,,,4600,,,,4.503764544832307,"BIS_0007_1112-Q1,1213-Q2",BEIS,Amber,Joiner,,,2020/beis/BEIS_Government_Major_Projects_Portfolio_data_September_2019.xlsx,2012-09-30,BIS_0007_1112-Q1,Amber,4600.0,2015-12-31,BEIS lineage::he reform programme,he reform programme,BEIS lineage::he reform programme,name,HE Reform Programme,Amber,4600.0,2015-12-31,both,True
CO_0001_1112-Q1,Electoral Registration Transformation Programme,AR 2013,1213-Q2,CO,Amber,2010-03-01 00:00:00,2016-01-01 00:00:00,5.9,5.9,,,218.227,,,,5.83709787816564,"CO_0001_1112-Q1,1213-Q2",CO,Amber,Joiner,,,2020/beis/BEIS_Government_Major_Projects_Portfolio_data_September_2019.xlsx,2012-09-30,CO_0001_1112-Q1,Amber,218.227,2016-01-01,CO::electoral registration transformation programme,electoral registration transformation programme,CO::electoral registration transformation programme,name,Electoral Registration Transformation Programme,Amber,218.227,2016-01-01,both,True
CO_0004_1112-Q1,National Citizen Service,AR 2013,1213-Q2,CO,Amber,2011-10-01 00:00:00,2014-12-31 00:00:00,59.86,59.86,,,324.06,,,,3.249828884325804,"CO_0004_1112-Q1,1213-Q2",CO,Amber,Joiner,,,2020/beis/BEIS_Government_Major_Projects_Portfolio_data_September_2019.xlsx,2012-09-30,CO_0004_1112-Q1,Amber,324.06,2014-12-31,CO::national citizen service,national citizen service,CO::national citizen service,name,National Citizen Service,Amber,324.06,2014-12-31,both,True
CO_0005_1112-Q1,National Cyber Security Programme,AR 2013,1213-Q2,CO,Amber,2011-04-01 00:00:00,2015-04-01 00:00:00,155,155,,,650,,,,4,"CO_0005_1112-Q1,1213-Q2",CO,Amber,Joiner,,,2020/beis/BEIS_Government_Major_Projects_Portfolio_data_September_2019.xlsx,2012-09-30,CO_0005_1112-Q1,Amber,650.0,2015-04-01,CO::national cyber security programme,national cyber security programme,CO::national cyber security programme,name,National Cyber Security Programme,Amber,650.0,2015-04-01,both,True
CO_0006_1112-Q2,Public Services Network Programme,AR 2013,1213-Q2,CO,Green,2011-08-31 00:00:00,2015-01-30 00:00:00,1.05,1.05,,,24.958,,,,3.4168377823408624,"CO_0006_1112-Q2,1213-Q2",CO,Green,Joiner,,,2020/beis/BEIS_Government_Major_Projects_Portfolio_data_September_2019.xlsx,2012-09-30,CO_0006_1112-Q2,Green,24.958,2015-01-30,CO::public services network programme,public services network programme,CO::public services network programme,name,Public Services Network Programme,Green,24.958,2015-01-30,both,True
CO_0002_1112-Q1,G-Cloud Programme (covers Data Centre Consolidation and Application Store),AR 2013,1213-Q2,CO,Amber/Red,2011-10-31 00:00:00,2015-06-30 00:00:00,0.58,0.58,,,0.58,,,,3.6632443531827517,"CO_0002_1112-Q1,1213-Q2",CO,Amber/Red,Joiner,,,2020/beis/BEIS_Government_Major_Projects_Portfolio_data_September_2019.xlsx,2012-09-30,CO_0002_1112-Q1,Amber/Red,0.58,2015-06-30,CO::g cloud programme,g cloud programme,CO::g cloud programme,name,G-Cloud Programme (covers Data Centre Consolidation and Application Store),Amber/Red,0.58,2015-06-30,both,True
DCLG_0005_1112-Q4,ICTRelet Project (formerly entitled ICTDesktop Refresh),AR 2013,1213-Q2,DCLG,Amber/Red,2011-11-16 00:00:00,2014-02-28 00:00:00,1.9,1.9,,,36.63,,,,2.2861054072553046,"DCLG_0005_1112-Q4,1213-Q2",DCLG,Amber/Red,Joiner,,,2020/beis/BEIS_Government_Major_Projects_Portfolio_data_September_2019.xlsx,2012-09-30,DCLG_0005_1112-Q4,Amber/Red,36.63,2014-02-28,,ictrelet project,,unmatched,,,,,left_only,False
DCLG_0006_1112-Q4,Enterprise Zones Programme,AR 2013,1213-Q2,DCLG,Amber,2011-03-23 00:00:00,2015-03-31 00:00:00,0,0,,,0,,,,4.0219028062970565,"DCLG_0006_1112-Q4,1213-Q2",DCLG,Amber,Joiner,,,2020/beis/BEIS_Government_Major_Projects_Portfolio_data_September_2019.xlsx,2012-09-30,DCLG_0006_1112-Q4,Amber,0.0,2015-03-31,DCLG/MHCLG::enterprise zones programme,enterprise zones programme,DCLG/MHCLG::enterprise zones programme,name,Enterprise Zones Programme,Amber,0.0,2015-03-31,both,True
DCLG_0004_1112-Q1,Reform of the Audit Commission,AR 2013,1213-Q2,DCLG,Amber,2011-06-30 00:00:00,2012-11-01 00:00:00,24.99,0.05,,,53.08,,,,1.3415468856947297,"DCLG_0004_1112-Q1,1213-Q2",DCLG,Amber,Joiner,,,2020/beis/BEIS_Government_Major_Projects_Portfolio_data_September_2019.xlsx,2012-09-30,DCLG_0004_1112-Q1,Amber,53.08,2012-11-01,DCLG/MHCLG::reform of the audit commission,reform of the audit commission,DCLG/MHCLG::reform of the audit commission,name,Reform of the Audit Commission,Amber,53.08,2012-11-01,both,True
DCLG_0001_1112-Q1,Housing Investment and Regulatory Reform Programme (HIRRP),AR 2013,1213-Q2,DCLG,Green,2011-11-01 00:00:00,2012-03-31 00:00:00,6.9,6.9,,,25.500000000000004,,,,0.4134154688569473,"DCLG_0001_1112-Q1,1213-Q2",DCLG,Green,Joiner,,,2020/beis/BEIS_Government_Major_Projects_Portfolio_data_September_2019.xlsx,2012-09-30,DCLG_0001_1112-Q1,Green,25.500000000000004,2012-03-31,DCLG/MHCLG::housing investment and regulatory reform programme,housing investment and regulatory reform programme,DCLG/MHCLG::housing investment and regulatory reform programme,name,Housing Investment and Regulatory Reform Programme (HIRRP),Green,25.5,2012-03-31,both,True
