publication_slug,publication_year,department_slug,local_path,snapshot_date,n_rows,layout,n_mapped,n_unmapped,date_order,error,snapshot_source,snapshot_crosscheck
nista-annual-report-2024-2025,2025,nista-annual-report-2024-2025,2025/nista-annual-report-2024-2025/nista_annual_report_data_2425.csv,2025-03-31,213,wide,21,0,day_first,,publication body,
nista-major-projects-annual-report-2025-26,2025,nista-major-projects-annual-report-2025-26,2025/nista-major-projects-annual-report-2025-26/NISTA_Major_Projects_Annual_Report_2025-2026_Data.csv,2026-03-31,189,wide,21,0,day_first,,publication body,
dft-government-major-projects-portfolio-data-2018,2018,dft,2018/dft/csv-dft-government-major-project-portfolio-data-september-2017.csv,2017-09-30,16,transposed,14,0,day_first,,"publication statement (title, filename or body)",
dh-government-major-projects-portfolio-data-2015,2015,dh,2015/dh/DH_MPA_data_Sept_2014.csv,2014-09-30,41,transposed,15,0,day_first,,"publication statement (title, filename or body)",
mod-government-major-projects-portfolio-data-2020,2020,mod,2020/mod/MoD_Government_Major_Projects_Portfolio_data_September_2019__1_.csv,2019-09-30,35,transposed,16,0,day_first,,"publication statement (title, filename or body)",
mod-government-major-projects-portfolio-data-2024,2024,mod,2024/mod/MOD_Government_Major_Projects_Portofolio_AR_Data_March_2024.csv,2024-03-31,49,wide,19,0,day_first,,"publication statement (title, filename or body)",
mod-government-major-projects-portfolio-data-2023,2023,mod,2023/mod/MOD_Government_Major_Projects_Portofolio_Data_March_2023.csv,2023-03-31,52,wide,19,0,day_first,,"publication statement (title, filename or body)",
dft-government-major-projects-portfolio-data-2020,2020,dft,2020/dft/DfT_Government_Major_Projects_Portfolio_data_September_2019.csv,2019-09-30,17,transposed,16,0,day_first,,"publication statement (title, filename or body)",
dh-government-major-projects-portfolio-data-2014,2014,dh,2014/dh/DH_Government_Major_Projects_Portfolio_data__September_2013__CSV_.csv,2013-09-30,35,transposed,15,0,day_first,,"publication statement (title, filename or body)",
mod-government-major-projects-portfolio-data-2022,2022,mod,2022/mod/MOD_Government_Major_Projects_Portfolio_Data_March_2022.csv,2022-03-31,52,wide,17,0,day_first,,"publication statement (title, filename or body)",
mod-government-major-projects-portfolio-data-2015,2015,mod,2015/mod/MoD_Government_Major_Projects_Portfolio_data__September_2014.csv,2014-09-30,39,transposed,15,0,day_first,,"publication statement (title, filename or body)",
mod-government-major-projects-portfolio-data-2021,2021,mod,2021/mod/MOD_Government_Major_Projects_Portofolio_Data_March_2021.csv,2021-03-31,36,wide,16,0,day_first,,"publication statement (title, filename or body)",
dft-government-major-projects-portfolio-data-2023,2023,dft,2023/dft/DFT_Government_Major_Projects_Portofolio_Data_March_2023.csv,2023-03-31,23,wide,19,0,day_first,,"publication statement (title, filename or body)",
mod-government-major-projects-portfolio-data-2014,2014,mod,2014/mod/MOD_Government_Major_Projects_Portfolio_data__September_2013__CSV_.csv,2013-09-30,40,transposed,15,0,day_first,,"publication statement (title, filename or body)",
dft-government-major-projects-portfolio-data-2021,2021,dft,2021/dft/DFT_Government_Major_Projects_Portofolio_Data_March_2021.csv,2021-03-31,25,wide,16,0,day_first,,"publication statement (title, filename or body)",
hmrc-government-major-projects-portfolio-data-2023,2023,hmrc,2023/hmrc/HMRC_Government_Major_Projects_Portofolio_Data_March_2023.csv,2023-03-31,21,wide,19,0,day_first,,"publication statement (title, filename or body)",
