outcome,outcome_label,assessor,n,base_rate,auc,brier,skill_vs_base_rate
wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,IPA,238,0.2269,0.5927,0.2687,-0.5317
wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,SRO,187,0.2567,0.5154,0.2563,-0.3432
wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,IPA,238,0.1639,0.6142,0.2746,-1.0039
wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,SRO,187,0.1551,0.4928,0.2563,-0.9558
slip_1y_gt_6m,End date slipped more than 6 months,IPA,345,0.2667,0.5511,0.2823,-0.4434
slip_1y_gt_6m,End date slipped more than 6 months,SRO,287,0.2787,0.5332,0.2546,-0.2662
slip_1y_gt_12m,End date slipped more than 12 months,IPA,345,0.1913,0.5699,0.2883,-0.8638
slip_1y_gt_12m,End date slipped more than 12 months,SRO,287,0.1638,0.531,0.2521,-0.8411
red_next,Rated Red at the next snapshot,IPA,392,0.1786,0.7193,0.2643,-0.802
red_next,Rated Red at the next snapshot,SRO,307,0.1173,0.6872,0.2286,-1.2081
worsened_next,Rating worse at the next snapshot,IPA,392,0.0969,0.3306,0.3429,-2.917
worsened_next,Rating worse at the next snapshot,SRO,307,0.127,0.3522,0.2856,-1.5751
worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",IPA,320,0.1187,0.415,0.2575,-1.4605
worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",SRO,282,0.1383,0.3884,0.2468,-1.0713
permanent_exit_next,Left the portfolio and did not return,IPA,461,0.128,0.3825,0.3313,-1.9687
permanent_exit_next,Left the portfolio and did not return,SRO,398,0.2211,0.3679,0.2914,-0.6922
