forecast,outcome,outcome_label,scale,brier,reliability,resolution,uncertainty,base_rate,n,n_bins,skill_vs_base_rate,decomposition_residual,brier_perfectly_recalibrated
published DCA,wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,five_point,0.2700451263537906,0.09532831172456105,0.006147728836155834,0.18086454346538539,0.23706377858002406,831,5,-0.49307941280084533,-5.551115123125783e-17,0.17471681462922956
base rate (in sample),wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,five_point,0.18086454346538544,0.0,0.0,0.18086454346538539,0.23706377858002406,831,1,-2.220446049250313e-16,5.551115123125783e-17,0.18086454346538539
climatology (prior snapshots only),wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,five_point,0.18726731365416918,0.003085346069383109,0.0016127900917879924,0.18579475767657405,0.24661246612466126,738,8,-0.007925713276359048,0.0,0.18418196758478605
published DCA (climatology rows),wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,five_point,0.27849593495934966,0.09834215593136264,0.005640978648587093,0.18579475767657405,0.24661246612466126,738,5,-0.49894398766700965,5.551115123125783e-17,0.18015377902798696
persistence (previous DCA),wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,five_point,0.3006506849315068,0.14029460845683614,0.0017450184200332767,0.16210109489470398,0.2035225048923679,511,5,-0.8547110068985069,0.0,0.1603560764746707
published DCA (persistence rows),wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,five_point,0.2761252446183953,0.11888935835467136,0.004865208630980046,0.16210109489470398,0.2035225048923679,511,5,-0.7034138159138161,5.551115123125783e-17,0.15723588626372392
published DCA,wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,three_point,0.26321764705882356,0.0854922651956035,0.004674618136779935,0.1824,0.24,425,3,-0.44307920536635725,0.0,0.17772538186322007
base rate (in sample),wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,three_point,0.18239999999999998,6.933347799794049e-33,0.0,0.1824,0.24,425,1,1.1102230246251565e-16,-2.7755575615628914e-17,0.1824
climatology (prior snapshots only),wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,three_point,0.17795348329380697,0.003563635687186932,0.0014944497047109063,0.17588429731133093,0.2277580071174377,281,2,-0.011764472520326308,2.7755575615628914e-17,0.17438984760662002
published DCA (climatology rows),wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,three_point,0.27024021352313166,0.09608682130685357,0.001730905095052818,0.17588429731133093,0.2277580071174377,281,3,-0.5364658338133639,0.0,0.1741533922162781
persistence (previous DCA),wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,three_point,0.2719730941704036,0.09864276262589135,0.0006124382678708768,0.17394276981238313,0.2242152466367713,223,3,-0.5635780346820809,0.0,0.17333033154451225
published DCA (persistence rows),wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,three_point,0.2721300448430493,0.09982766161432315,0.0016403865836568962,0.17394276981238313,0.2242152466367713,223,3,-0.564480346820809,-5.551115123125783e-17,0.17230238322872624
published DCA,wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,five_point,0.2817178098676294,0.1567539195881322,0.003670654677429166,0.12863454495692633,0.15162454873646208,831,5,-1.190063407632557,0.0,0.12496389027949717
base rate (in sample),wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,five_point,0.12863454495692636,7.703719777548943e-34,0.0,0.12863454495692633,0.15162454873646208,831,1,-2.220446049250313e-16,2.7755575615628914e-17,0.12863454495692633
climatology (prior snapshots only),wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,five_point,0.1332712215283084,0.001815240526549061,0.0010195442954990881,0.1324755252972584,0.15718157181571815,738,8,-0.006006364037919765,2.7755575615628914e-17,0.13145598100175931
published DCA (climatology rows),wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,five_point,0.2925880758807588,0.16357774927206514,0.003465198688564754,0.1324755252972584,0.15718157181571815,738,5,-1.208619858077392,5.551115123125783e-17,0.12901032660869363
persistence (previous DCA),wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,five_point,0.31102250489236793,0.2070065432662901,0.001107716668659105,0.10512367829473693,0.11937377690802348,511,5,-1.9586341530054647,0.0,0.10401596162607782
published DCA (persistence rows),wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,five_point,0.29158512720156554,0.188561812912684,0.0021003640058553756,0.10512367829473693,0.11937377690802348,511,5,-1.7737340619307829,-5.551115123125783e-17,0.10302331428888155
published DCA,wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,three_point,0.2665117647058824,0.13550786270184573,0.003396097995963389,0.1344,0.16,425,3,-0.9829744397759108,5.551115123125783e-17,0.1310039020040366
base rate (in sample),wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,three_point,0.13439999999999996,0.0,0.0,0.1344,0.16,425,1,2.220446049250313e-16,-2.7755575615628914e-17,0.1344
climatology (prior snapshots only),wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,three_point,0.1302853732190221,0.0011695563421035698,0.0004924707587497086,0.12960828763566823,0.15302491103202848,281,2,-0.005224091728278646,0.0,0.12911581687691853
