outcome,outcome_label,annual_report_category,scale,n,n_projects,base_rate,auc,brier,skill_vs_base_rate
wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,Government Transformation and Service Delivery,five_point,113,77,0.3894,0.5967,0.2661,-0.1192
wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,Government Transformation and Service Delivery,three_point,178,100,0.2865,0.5516,0.2643,-0.2927
wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,ICT,five_point,53,32,0.3019,0.489,0.3314,-0.5723
wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,ICT,three_point,57,26,0.2982,0.575,0.2512,-0.2004
wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,Infrastructure and Construction,five_point,103,61,0.1845,0.6692,0.261,-0.7351
wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,Infrastructure and Construction,three_point,124,59,0.121,0.5416,0.2644,-1.4864
wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,Military Capability,five_point,52,25,0.2692,0.5789,0.2898,-0.473
wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,Military Capability,three_point,66,26,0.2879,0.528,0.2686,-0.31
wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,Government Transformation and Service Delivery,five_point,113,77,0.2743,0.609,0.2794,-0.4034
wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,Government Transformation and Service Delivery,three_point,178,100,0.2079,0.5722,0.2643,-0.6049
wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,ICT,five_point,53,32,0.1132,0.516,0.3502,-2.4887
wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,ICT,three_point,57,26,0.2281,0.5446,0.2635,-0.4967
wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,Infrastructure and Construction,five_point,103,61,0.1262,0.5987,0.2833,-1.5693
wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,Infrastructure and Construction,three_point,124,59,0.0645,0.5668,0.2644,-3.3808
wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,Military Capability,five_point,52,25,0.0962,0.6213,0.3187,-2.6666
wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,Military Capability,three_point,66,26,0.1515,0.5205,0.2792,-1.1715
slip_1y_gt_6m,End date slipped more than 6 months,Government Transformation and Service Delivery,five_point,117,81,0.1966,0.639,0.288,-0.8235
slip_1y_gt_6m,End date slipped more than 6 months,Government Transformation and Service Delivery,three_point,231,110,0.2554,0.5054,0.2805,-0.4747
slip_1y_gt_6m,End date slipped more than 6 months,ICT,five_point,66,37,0.3182,0.6048,0.2947,-0.3584
slip_1y_gt_6m,End date slipped more than 6 months,ICT,three_point,85,34,0.3176,0.5338,0.2677,-0.2351
slip_1y_gt_6m,End date slipped more than 6 months,Infrastructure and Construction,five_point,106,65,0.2547,0.5818,0.2637,-0.3891
slip_1y_gt_6m,End date slipped more than 6 months,Infrastructure and Construction,three_point,182,71,0.2582,0.5674,0.2513,-0.3116
slip_1y_gt_6m,End date slipped more than 6 months,Military Capability,five_point,71,34,0.1408,0.5557,0.3325,-1.748
slip_1y_gt_6m,End date slipped more than 6 months,Military Capability,three_point,134,40,0.291,0.5607,0.2774,-0.3445
slip_1y_gt_12m,End date slipped more than 12 months,Government Transformation and Service Delivery,five_point,117,81,0.1197,0.5929,0.3119,-1.9611
slip_1y_gt_12m,End date slipped more than 12 months,Government Transformation and Service Delivery,three_point,231,110,0.1385,0.478,0.2895,-1.4263
slip_1y_gt_12m,End date slipped more than 12 months,ICT,five_point,66,37,0.2424,0.6131,0.3098,-0.6871
slip_1y_gt_12m,End date slipped more than 12 months,ICT,three_point,85,34,0.1647,0.6408,0.2512,-0.8261
slip_1y_gt_12m,End date slipped more than 12 months,Infrastructure and Construction,five_point,106,65,0.1792,0.6361,0.259,-0.7604
slip_1y_gt_12m,End date slipped more than 12 months,Infrastructure and Construction,three_point,182,71,0.1868,0.579,0.2513,-0.6539
slip_1y_gt_12m,End date slipped more than 12 months,Military Capability,five_point,71,34,0.1268,0.5242,0.3396,-2.0678
slip_1y_gt_12m,End date slipped more than 12 months,Military Capability,three_point,134,40,0.2463,0.5645,0.2826,-0.5227
red_next,Rated Red at the next snapshot,Government Transformation and Service Delivery,three_point,235,112,0.1149,0.6861,0.2581,-1.5382
red_next,Rated Red at the next snapshot,ICT,five_point,47,31,0.0638,0.822,0.3685,-5.167
red_next,Rated Red at the next snapshot,ICT,three_point,90,34,0.1333,0.5929,0.2799,-1.4226
red_next,Rated Red at the next snapshot,Infrastructure and Construction,five_point,58,36,0.069,0.6019,0.291,-3.5319
red_next,Rated Red at the next snapshot,Infrastructure and Construction,three_point,225,79,0.1511,0.7707,0.2265,-0.7658
red_next,Rated Red at the next snapshot,Military Capability,five_point,50,30,0.1,0.6867,0.3163,-2.5144
red_next,Rated Red at the next snapshot,Military Capability,three_point,149,45,0.2215,0.7126,0.2481,-0.439
worsened_next,Rating worse at the next snapshot,Government Transformation and Service Delivery,five_point,69,44,0.1449,0.2186,0.3696,-1.9822
worsened_next,Rating worse at the next snapshot,Government Transformation and Service Delivery,three_point,235,112,0.0979,0.3262,0.3117,-2.5307
worsened_next,Rating worse at the next snapshot,ICT,five_point,47,31,0.2553,0.231,0.4174,-1.1956
worsened_next,Rating worse at the next snapshot,ICT,three_point,90,34,0.1444,0.3092,0.3344,-1.7058
worsened_next,Rating worse at the next snapshot,Infrastructure and Construction,five_point,58,36,0.1379,0.3563,0.322,-1.7082
worsened_next,Rating worse at the next snapshot,Infrastructure and Construction,three_point,225,79,0.0889,0.351,0.3012,-2.7188
worsened_next,Rating worse at the next snapshot,Military Capability,five_point,50,30,0.24,0.3213,0.3623,-0.9863
worsened_next,Rating worse at the next snapshot,Military Capability,three_point,149,45,0.1409,0.3304,0.3421,-1.8253
worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",Government Transformation and Service Delivery,five_point,69,44,0.1449,0.2186,0.3696,-1.9822
worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",Government Transformation and Service Delivery,three_point,206,106,0.1117,0.3779,0.2539,-1.56
worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",ICT,five_point,45,31,0.2667,0.2449,0.4,-1.0455
worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",ICT,three_point,76,30,0.1711,0.3779,0.2629,-0.8541
worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",Infrastructure and Construction,five_point,54,34,0.1481,0.3872,0.2859,-1.2653
worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",Infrastructure and Construction,three_point,197,76,0.1015,0.4065,0.2413,-1.6453
worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",Military Capability,five_point,46,29,0.2609,0.3591,0.3234,-0.6771
worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",Military Capability,three_point,123,43,0.1707,0.4146,0.2617,-0.8482
permanent_exit_next,Left the portfolio and did not return,Government Transformation and Service Delivery,five_point,160,100,0.2562,0.3448,0.353,-0.8523
permanent_exit_next,Left the portfolio and did not return,Government Transformation and Service Delivery,three_point,322,136,0.264,0.3437,0.321,-0.6523
permanent_exit_next,Left the portfolio and did not return,ICT,five_point,98,54,0.3163,0.2843,0.3852,-0.7811
permanent_exit_next,Left the portfolio and did not return,ICT,three_point,108,38,0.1574,0.3943,0.3098,-1.3358
permanent_exit_next,Left the portfolio and did not return,Infrastructure and Construction,five_point,134,77,0.1642,0.4513,0.3089,-1.2511
permanent_exit_next,Left the portfolio and did not return,Infrastructure and Construction,three_point,266,93,0.1316,0.4066,0.2945,-1.5771
permanent_exit_next,Left the portfolio and did not return,Military Capability,five_point,85,36,0.0824,0.2839,0.3616,-3.7844
permanent_exit_next,Left the portfolio and did not return,Military Capability,three_point,163,49,0.0613,0.3078,0.3286,-4.7061
