outcome,outcome_label,department_norm,scale,n,n_projects,base_rate,auc,brier,skill_vs_base_rate
wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,BEIS/DBT,five_point,57,28,0.2105,0.5231,0.2642,-0.5894
wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,CO,five_point,46,22,0.3696,0.6237,0.249,-0.0686
wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,DCMS,five_point,40,16,0.175,0.4805,0.3046,-1.1095
wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,DFT,five_point,95,30,0.1789,0.6546,0.2602,-0.7709
wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,DH/DHSC,five_point,98,46,0.2143,0.6636,0.2745,-0.6302
wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,HMRC,five_point,45,21,0.3556,0.75,0.2044,0.108
wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,HO,five_point,66,25,0.3788,0.5176,0.3052,-0.2968
wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,HO,three_point,40,21,0.375,0.5773,0.2688,-0.1469
wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,MOD,five_point,171,51,0.1988,0.571,0.2921,-0.8334
wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,MOD,three_point,67,27,0.2985,0.5255,0.2683,-0.2812
wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,MOJ,five_point,84,40,0.2857,0.6299,0.2744,-0.3447
wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,BEIS/DBT,five_point,57,28,0.1228,0.5729,0.2554,-1.3708
wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,CO,five_point,46,22,0.2391,0.7078,0.2381,-0.3086
wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,DCMS,five_point,40,16,0.1,0.3889,0.3171,-2.5229
wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,DFT,five_point,95,30,0.0947,0.5439,0.2897,-2.3775
wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,DH/DHSC,five_point,98,46,0.1837,0.6684,0.2796,-0.8646
wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,HMRC,five_point,45,21,0.2667,0.7513,0.2155,-0.102
wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,HO,five_point,66,25,0.197,0.5116,0.34,-1.1496
wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,HO,three_point,40,21,0.25,0.525,0.3038,-0.6203
wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,MOD,five_point,171,51,0.0877,0.5216,0.3149,-2.9346
