snapshot,projects,departments,with_published_dca,exempt,not_rated_or_missing,with_wlc,with_end_date,assessor_ipa,assessor_sro,scale
2012-09-30,181,15,160,0,21,153,175,160,0,five_point
2013-09-30,189,16,165,15,9,172,181,165,0,five_point
2014-09-30,178,16,174,4,0,164,170,174,0,five_point
2015-09-30,138,14,133,5,0,129,136,133,0,five_point
2016-09-30,139,13,133,5,1,130,136,133,0,five_point
2017-09-30,130,13,126,4,0,113,125,126,0,five_point
2018-09-30,131,13,128,3,0,116,125,128,0,five_point
2019-09-30,123,13,121,2,0,111,118,121,0,five_point
2021-03-31,181,16,173,5,3,161,175,173,0,five_point
2022-03-31,232,16,218,11,3,188,215,150,68,three_point
2023-03-31,244,21,232,11,1,193,214,111,121,three_point
2024-03-31,227,21,215,12,0,174,199,115,100,three_point
2025-03-31,213,20,196,14,3,157,183,86,110,three_point
2026-03-31,189,20,172,16,1,133,162,0,91,three_point
