department,rows_in_the_ipa_back_series,snapshots
ONS,20,2012-09-30 2013-09-30 2014-09-30 2015-09-30 2016-09-30
MOJ,8,2012-09-30 2013-09-30 2014-09-30
DEFRA,7,2012-09-30 2013-09-30
HO,7,2012-09-30 2013-09-30 2014-09-30 2015-09-30 2016-09-30
DFT,6,2012-09-30 2013-09-30 2015-09-30 2016-09-30
MOD,6,2012-09-30 2013-09-30 2014-09-30 2015-09-30
NCA,6,2013-09-30 2014-09-30 2015-09-30 2016-09-30
DH,5,2012-09-30 2014-09-30 2016-09-30
CPS,3,2014-09-30 2015-09-30 2016-09-30
DFE,3,2013-09-30 2014-09-30 2015-09-30
FCO,3,2013-09-30 2014-09-30 2015-09-30
NS&I,3,2012-09-30 2013-09-30 2014-09-30
BEIS,2,2012-09-30 2013-09-30
DWP,2,2012-09-30 2014-09-30
DCLG,1,2012-09-30
