outcome,outcome_label,scale,n,n_projects,base_rate,auc,auc_lo_rows,auc_hi_rows,auc_lo,auc_hi,null_auc,null_auc_lo,null_auc_hi,auc_above_null
wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,five_point,831,342,0.2371,0.6144,0.5724,0.6564,0.5701,0.6571,0.5,,,
wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,three_point,425,211,0.24,0.5521,0.5033,0.6039,0.4995,0.6059,0.5,,,
wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,five_point,831,342,0.1516,0.6177,0.57,0.6629,0.5684,0.6679,0.5,,,
wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,three_point,425,211,0.16,0.5604,0.5,0.6229,0.4934,0.625,0.5,,,
slip_1y_gt_6m,End date slipped more than 6 months,five_point,919,368,0.1948,0.6098,0.5661,0.6511,0.5666,0.6521,0.5,,,
slip_1y_gt_6m,End date slipped more than 6 months,three_point,632,250,0.2722,0.5406,0.5034,0.5782,0.5003,0.5805,0.5,,,
slip_1y_gt_12m,End date slipped more than 12 months,five_point,919,368,0.136,0.6139,0.5651,0.6618,0.563,0.6617,0.5,,,
slip_1y_gt_12m,End date slipped more than 12 months,three_point,632,250,0.1788,0.5563,0.5112,0.601,0.5145,0.6023,0.5,,,
red_next,Rated Red at the next snapshot,five_point,790,287,0.0456,0.6797,0.5937,0.7667,0.5981,0.754,0.5001,0.4059,0.5937,0.1796
red_next,Rated Red at the next snapshot,three_point,699,264,0.1516,0.7122,0.6622,0.7552,0.6566,0.7577,0.4986,0.4606,0.5375,0.2136
worsened_next,Rating worse at the next snapshot,five_point,790,287,0.1962,0.2968,0.2587,0.3389,0.2627,0.335,0.1862,0.1635,0.2124,0.1106
worsened_next,Rating worse at the next snapshot,three_point,699,264,0.1102,0.3367,0.2938,0.3803,0.2969,0.3762,0.2668,0.2408,0.2885,0.0698
worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",five_point,756,283,0.205,0.3136,0.2721,0.3564,0.276,0.3527,0.1934,0.1694,0.2175,0.1202
worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",three_point,602,252,0.1279,0.3989,0.3472,0.4487,0.3511,0.4472,0.2667,0.2263,0.3025,0.1322
permanent_exit_next,Left the portfolio and did not return,five_point,1312,505,0.2668,0.3497,0.3176,0.3835,0.3174,0.3827,0.5,,,
permanent_exit_next,Left the portfolio and did not return,three_point,859,309,0.1711,0.3586,0.3192,0.3986,0.3175,0.4002,0.5,,,
