outcome,snapshot,n,base_rate,auc
wlc_growth_1y_gt_10,2012-09-30,93,0.1613,0.7064
wlc_growth_1y_gt_10,2013-09-30,100,0.22,0.6649
wlc_growth_1y_gt_10,2014-09-30,84,0.2143,0.6418
wlc_growth_1y_gt_10,2015-09-30,91,0.2527,0.6145
wlc_growth_1y_gt_10,2016-09-30,91,0.1868,0.4535
wlc_growth_1y_gt_10,2017-09-30,88,0.2386,0.5817
wlc_growth_1y_gt_10,2018-09-30,87,0.2414,0.6677
wlc_growth_1y_gt_10,2019-09-30,73,0.2877,0.5801
wlc_growth_1y_gt_10,2021-03-31,124,0.3145,0.5843
wlc_growth_1y_gt_10,2022-03-31,144,0.2639,0.5807
wlc_growth_1y_gt_10,2023-03-31,138,0.1884,0.5316
wlc_growth_1y_gt_10,2024-03-31,143,0.2657,0.5388
wlc_growth_1y_gt_25,2012-09-30,93,0.1075,0.7916
wlc_growth_1y_gt_25,2013-09-30,100,0.17,0.6502
wlc_growth_1y_gt_25,2014-09-30,84,0.1786,0.6309
wlc_growth_1y_gt_25,2015-09-30,91,0.1868,0.7118
wlc_growth_1y_gt_25,2016-09-30,91,0.1099,0.5105
wlc_growth_1y_gt_25,2017-09-30,88,0.125,0.428
wlc_growth_1y_gt_25,2018-09-30,87,0.1149,0.6714
wlc_growth_1y_gt_25,2019-09-30,73,0.1644,0.6141
wlc_growth_1y_gt_25,2021-03-31,124,0.1935,0.5692
wlc_growth_1y_gt_25,2022-03-31,144,0.1736,0.5874
wlc_growth_1y_gt_25,2023-03-31,138,0.1304,0.5764
wlc_growth_1y_gt_25,2024-03-31,143,0.1748,0.5217
slip_1y_gt_6m,2012-09-30,103,0.1359,0.6368
slip_1y_gt_6m,2013-09-30,111,0.2162,0.6061
slip_1y_gt_6m,2014-09-30,89,0.2135,0.735
slip_1y_gt_6m,2015-09-30,96,0.2083,0.5536
slip_1y_gt_6m,2016-09-30,101,0.1782,0.5027
