outcome,outcome_label,scale,n_train,n_test,test_base_rate,brier_stated_mapping,brier_perfectly_recalibrated,brier_isotonic,brier_train_base_rate,skill_stated,skill_isotonic,skill_stated_vs_train_base,skill_isotonic_vs_train_base,fitted_mapping
wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,five_point,547,284,0.2852,0.2776,0.1898,0.2048,0.2092,-0.3617,-0.0046,-0.3268,0.0211,"{'Green': 0.0, 'Amber/Green': 0.1157, 'Amber': 0.2282, 'Amber/Red': 0.2867, 'Red': 0.3158}"
wlc_growth_1y_gt_10,Baseline whole-life cost up more than 10 per cent,three_point,282,143,0.2657,0.2725,0.1935,0.1974,0.1966,-0.3967,-0.0115,-0.386,-0.0038,"{'Green': 0.2, 'Amber': 0.2, 'Red': 0.4815}"
wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,five_point,547,284,0.162,0.298,0.128,0.1355,0.136,-1.1956,0.0021,-1.1916,0.0039,"{'Green': 0.0, 'Amber/Green': 0.0579, 'Amber': 0.1618, 'Amber/Red': 0.2099, 'Red': 0.2099}"
wlc_growth_1y_gt_25,Baseline whole-life cost up more than 25 per cent,three_point,282,143,0.1748,0.2823,0.1426,0.1455,0.1448,-0.9569,-0.0089,-0.9502,-0.0054,"{'Green': 0.125, 'Amber': 0.1299, 'Red': 0.3704}"
slip_1y_gt_6m,End date slipped more than 6 months,five_point,599,320,0.2188,0.2919,0.162,0.1705,0.1723,-0.7078,0.0022,-0.6944,0.01,"{'Green': 0.0714, 'Amber/Green': 0.1069, 'Amber': 0.1805, 'Amber/Red': 0.2384, 'Red': 0.3913}"
slip_1y_gt_6m,End date slipped more than 6 months,three_point,332,300,0.3333,0.2576,0.2148,0.2354,0.2358,-0.1591,-0.0593,-0.0924,0.0017,"{'Green': 0.2162, 'Amber': 0.2162, 'Red': 0.2222}"
slip_1y_gt_12m,End date slipped more than 12 months,five_point,599,320,0.1625,0.299,0.1294,0.1388,0.1377,-1.1974,-0.0196,-1.171,-0.0074,"{'Green': 0.0357, 'Amber/Green': 0.0763, 'Amber': 0.1203, 'Amber/Red': 0.1457, 'Red': 0.3478}"
slip_1y_gt_12m,End date slipped more than 12 months,three_point,332,300,0.2233,0.2646,0.1678,0.179,0.1806,-0.5254,-0.0321,-0.4647,0.009,"{'Green': 0.1351, 'Amber': 0.1351, 'Red': 0.1667}"
red_next,Rated Red at the next snapshot,five_point,606,184,0.0652,0.3272,0.0572,0.0588,0.0616,-4.3667,0.0363,-4.3095,0.0465,"{'Green': 0.0, 'Amber/Green': 0.0079, 'Amber': 0.0404, 'Amber/Red': 0.051, 'Red': 0.1667}"
red_next,Rated Red at the next snapshot,three_point,364,335,0.1821,0.2431,0.1218,0.1253,0.1524,-0.632,0.1588,-0.5953,0.1776,"{'Green': 0.0345, 'Amber': 0.0828, 'Red': 0.4444}"
worsened_next,Rating worse at the next snapshot,five_point,606,184,0.1848,0.3674,0.1362,0.1509,0.1509,-1.4389,-0.0015,-1.4353,0.0,"{'Green': 0.1997, 'Amber/Green': 0.1997, 'Amber': 0.1997, 'Amber/Red': 0.1997, 'Red': 0.1997}"
worsened_next,Rating worse at the next snapshot,three_point,364,335,0.1164,0.3183,0.0993,0.103,0.103,-2.0941,-0.0014,-2.0898,0.0,"{'Green': 0.1044, 'Amber': 0.1044, 'Red': 0.1044}"
worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",five_point,582,174,0.1954,0.342,0.1441,0.1574,0.1574,-1.175,-0.001,-1.1728,0.0,"{'Green': 0.2079, 'Amber/Green': 0.2079, 'Amber': 0.2079, 'Amber/Red': 0.2079, 'Red': 0.2079}"
worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",three_point,319,283,0.1378,0.244,0.1176,0.1192,0.1192,-1.0536,-0.0029,-1.0476,0.0,"{'Green': 0.1191, 'Amber': 0.1191, 'Red': 0.1191}"
permanent_exit_next,Left the portfolio and did not return,five_point,890,422,0.2038,0.3479,0.1415,0.1709,0.1709,-1.1438,-0.0531,-1.0357,0.0,"{'Green': 0.2966, 'Amber/Green': 0.2966, 'Amber': 0.2966, 'Amber/Red': 0.2966, 'Red': 0.2966}"
permanent_exit_next,Left the portfolio and did not return,three_point,450,409,0.1614,0.3229,0.12,0.1357,0.1357,-1.3861,-0.0026,-1.38,0.0,"{'Green': 0.18, 'Amber': 0.18, 'Red': 0.18}"
