snapshot,project_years,linked_to_next_snapshot,link_rate,key_from_gmpp_id,key_from_name
2012-09-30,181,124.0,0.6851,27,154
2013-09-30,189,132.0,0.6984,43,146
2014-09-30,178,101.0,0.5674,52,125
2015-09-30,138,103.0,0.7464,77,60
2016-09-30,139,106.0,0.7626,111,28
2017-09-30,130,107.0,0.8231,110,20
2018-09-30,131,104.0,0.7939,116,15
2019-09-30,123,87.0,0.7073,123,0
2021-03-31,181,156.0,0.8619,181,0
2022-03-31,232,203.0,0.875,232,0
2023-03-31,244,191.0,0.7828,244,0
2024-03-31,227,199.0,0.8767,227,0
2025-03-31,213,172.0,0.8075,213,0
2026-03-31,189,,,187,2
