snapshot,Green,Amber/Green,Amber,Amber/Red,Red,EXEMPT,RESET,NOT_RATED,MISSING
2012-09-30,31,46,55,22,6,0,0,0,21
2013-09-30,16,50,61,35,3,15,1,8,0
2014-09-30,25,42,60,39,8,4,0,0,0
2015-09-30,10,27,52,38,6,5,0,0,0
2016-09-30,5,22,68,34,4,5,1,0,0
2017-09-30,2,22,56,38,8,4,0,0,0
2018-09-30,4,18,64,38,4,3,0,0,0
2019-09-30,3,18,57,32,11,2,0,0,0
2021-03-31,12,29,81,44,7,5,0,3,0
2022-03-31,24,0,167,0,27,11,0,3,0
2023-03-31,26,0,183,0,23,11,0,1,0
2024-03-31,25,0,163,0,27,12,0,0,0
2025-03-31,30,0,135,0,31,14,0,3,0
2026-03-31,29,0,109,0,34,16,0,1,0
