label,model,bin,n,mean_forecast,observed
duration_extension,reference class,0.0,3824,0.024885228543856615,0.038702928870292884
duration_extension,reference class,1.0,4103,0.03571507106596786,0.038752132585912744
duration_extension,reference class,2.0,3573,0.041887385661716514,0.05737475510775259
duration_extension,reference class,3.0,3780,0.051465379626265954,0.05582010582010582
duration_extension,reference class,4.0,3809,0.0594547393284141,0.059333158309267525
duration_extension,reference class,5.0,3783,0.06731009615505865,0.06397039386730108
duration_extension,reference class,6.0,3822,0.07768680057565845,0.05886970172684458
duration_extension,reference class,7.0,4109,0.09368738527699239,0.12971525918715016
duration_extension,reference class,8.0,3520,0.1326121963009907,0.13835227272727274
duration_extension,reference class,9.0,3790,0.2661506476794754,0.2986807387862797
duration_extension,"GBM lot, no buyer history",0.0,3812,0.00864867209153999,0.03541448058761805
duration_extension,"GBM lot, no buyer history",1.0,3811,0.020454752251379313,0.03804775649435844
duration_extension,"GBM lot, no buyer history",2.0,3811,0.02832129991984663,0.04906848596168985
duration_extension,"GBM lot, no buyer history",3.0,3811,0.035427248472250705,0.05274206245080031
duration_extension,"GBM lot, no buyer history",4.0,3812,0.04300440920248791,0.06033578174186779
duration_extension,"GBM lot, no buyer history",5.0,3811,0.052222401762245296,0.05195486748884807
duration_extension,"GBM lot, no buyer history",6.0,3811,0.06429284116934611,0.06927315665179742
duration_extension,"GBM lot, no buyer history",7.0,3811,0.0829950473087322,0.11151928627656783
duration_extension,"GBM lot, no buyer history",8.0,3811,0.12122439861244251,0.11834164261348727
duration_extension,"GBM lot, no buyer history",9.0,3812,0.3471378779138435,0.34942287513116477
duration_extension,"GBM lot, plus buyer history",0.0,3812,0.008680421665968819,0.035939139559286466
duration_extension,"GBM lot, plus buyer history",1.0,3812,0.019758004055910165,0.03672612801678909
duration_extension,"GBM lot, plus buyer history",2.0,3810,0.027503126412844185,0.03622047244094488
duration_extension,"GBM lot, plus buyer history",3.0,3811,0.03497978610176226,0.04487011283127788
duration_extension,"GBM lot, plus buyer history",4.0,3812,0.04342677572674215,0.053515215110178385
duration_extension,"GBM lot, plus buyer history",5.0,3811,0.0540265159833904,0.05405405405405406
duration_extension,"GBM lot, plus buyer history",6.0,3811,0.06869210003058146,0.0669115717659407
duration_extension,"GBM lot, plus buyer history",7.0,3811,0.09278410766351741,0.07871949619522435
duration_extension,"GBM lot, plus buyer history",8.0,3811,0.1446173231001008,0.1689845184990816
duration_extension,"GBM lot, plus buyer history",9.0,3812,0.40533833905523475,0.3601783840503673
duration_extension,GBM plus the bidder's price,0.0,3812,0.007480212821810881,0.03410283315844701
duration_extension,GBM plus the bidder's price,1.0,3811,0.017820085841672176,0.032274993440041984
duration_extension,GBM plus the bidder's price,2.0,3811,0.02558908986440912,0.03962214641826292
duration_extension,GBM plus the bidder's price,3.0,3811,0.03296673071843176,0.04801889267908686
duration_extension,GBM plus the bidder's price,4.0,3812,0.04141380027001417,0.048268625393494226
duration_extension,GBM plus the bidder's price,5.0,3811,0.05194273181186642,0.05326685909210181
duration_extension,GBM plus the bidder's price,6.0,3811,0.06625014798468848,0.06507478352138546
duration_extension,GBM plus the bidder's price,7.0,3811,0.08992401278085453,0.07740750459197061
duration_extension,GBM plus the bidder's price,8.0,3811,0.14680693737288875,0.12909997376016794
duration_extension,GBM plus the bidder's price,9.0,3812,0.413097628697668,0.4089716684155299
duration_extension,GBM plus the bidder's price and history,0.0,3812,0.008052554386390954,0.026232948583420776
duration_extension,GBM plus the bidder's price and history,1.0,3811,0.01786979867248487,0.03909734977696143
duration_extension,GBM plus the bidder's price and history,2.0,3811,0.025415825638735696,0.03516137496720021
duration_extension,GBM plus the bidder's price and history,3.0,3811,0.03288768637911344,0.04460771451062713
duration_extension,GBM plus the bidder's price and history,4.0,3812,0.041803319344232474,0.04590766002098636
duration_extension,GBM plus the bidder's price and history,5.0,3811,0.05287012834210158,0.06218840199422724
duration_extension,GBM plus the bidder's price and history,6.0,3811,0.0682374426750833,0.07425872474416163
duration_extension,GBM plus the bidder's price and history,7.0,3811,0.09192504832299239,0.1272631855156127
duration_extension,GBM plus the bidder's price and history,8.0,3811,0.14703227018982987,0.12044082917869325
duration_extension,GBM plus the bidder's price and history,9.0,3812,0.41687384002525946,0.36096537250786986
days_extended_gt90,reference class,0.0,3826,0.02835415313018625,0.05253528489283847
days_extended_gt90,reference class,1.0,3782,0.045216594383049244,0.029613960867265997
days_extended_gt90,reference class,2.0,3939,0.05960823811765556,0.04265041888804265
days_extended_gt90,reference class,3.0,3785,0.07347755150049431,0.046763540290620874
days_extended_gt90,reference class,4.0,4156,0.08737043494775049,0.05702598652550529
days_extended_gt90,reference class,5.0,3483,0.09860360968275297,0.05512489233419466
days_extended_gt90,reference class,6.0,3673,0.11457579980131012,0.0639803974952355
days_extended_gt90,reference class,7.0,3812,0.13562026765430724,0.08656873032528856
days_extended_gt90,reference class,8.0,3872,0.17216082953827408,0.12370867768595041
days_extended_gt90,reference class,9.0,3672,0.26319026443886495,0.19308278867102396
days_extended_gt90,"GBM lot, no buyer history",0.0,3800,0.004921998862281028,0.04868421052631579
days_extended_gt90,"GBM lot, no buyer history",1.0,3800,0.011622412182507025,0.02631578947368421
days_extended_gt90,"GBM lot, no buyer history",2.0,3800,0.019370229274141483,0.024736842105263158
days_extended_gt90,"GBM lot, no buyer history",3.0,3800,0.030354947157576667,0.032105263157894734
days_extended_gt90,"GBM lot, no buyer history",4.0,3800,0.04539603518577808,0.03710526315789474
days_extended_gt90,"GBM lot, no buyer history",5.0,3800,0.06583600888476296,0.060263157894736845
days_extended_gt90,"GBM lot, no buyer history",6.0,3800,0.0925035454894546,0.05578947368421053
days_extended_gt90,"GBM lot, no buyer history",7.0,3800,0.129354376252099,0.08026315789473684
days_extended_gt90,"GBM lot, no buyer history",8.0,3800,0.19287636744077918,0.11105263157894738
days_extended_gt90,"GBM lot, no buyer history",9.0,3800,0.37481727794622255,0.2710526315789474
days_extended_gt90,"GBM lot, plus buyer history",0.0,3800,0.005252504143871124,0.04263157894736842
