bin,n_lots,winner_discount_min,winner_discount_median,winner_discount_max,duration_extension_n,duration_extension_rate,days_extended_gt90_n,days_extended_gt90_rate,value_growth_gt10_n,value_growth_gt10_rate,any_change_n,any_change_rate,underexecuted_n,underexecuted_rate
0,1438,0.0,0.00024783620533119777,0.0010174241035978415,1432,0.09427374301675978,1420,0.1119718309859155,1423,0.07167955024595925,1432,0.5453910614525139,1232,0.29383116883116883
1,1438,0.0010174550777685143,0.0022749529615879727,0.004476191849150157,1430,0.0979020979020979,1425,0.1031578947368421,1414,0.07708628005657708,1430,0.5286713286713287,1252,0.24121405750798722
2,1438,0.0044777610747223084,0.006310247514460465,0.00966284569138276,1432,0.08659217877094973,1426,0.08906030855539972,1417,0.0776287932251235,1432,0.5293296089385475,1247,0.2413793103448276
3,1438,0.009676892681357296,0.013653092224325092,0.01947500000000002,1431,0.0957372466806429,1421,0.10837438423645321,1403,0.06699928724162509,1431,0.5471698113207547,1246,0.2576243980738363
4,1438,0.019478248647599505,0.028218997186388484,0.04213331790385744,1427,0.08479327259985985,1419,0.10500352360817478,1416,0.0692090395480226,1427,0.5648213034337771,1254,0.27352472089314195
5,1438,0.042135281219293885,0.06000000000000005,0.08344085409830104,1432,0.1005586592178771,1424,0.11867977528089887,1416,0.06073446327683616,1432,0.5593575418994413,1249,0.2930344275420336
6,1438,0.08344302131321824,0.11018315294284908,0.14102698682285086,1429,0.086074177746676,1423,0.08713984539704848,1411,0.04748405386250886,1429,0.5906228131560531,1233,0.31549067315490675
7,1438,0.141047900677448,0.17681361837292303,0.21803229999999996,1432,0.08170391061452514,1430,0.08601398601398601,1418,0.05289139633286319,1432,0.5761173184357542,1219,0.3051681706316653
8,1438,0.21809973559329865,0.267975,0.33255752116169435,1434,0.07670850767085077,1432,0.07541899441340782,1426,0.056100981767180924,1434,0.596931659693166,1223,0.3466884709730172
9,1438,0.3325842696629213,0.42898721716132826,0.9999999871794871,1434,0.08368200836820083,1430,0.07762237762237763,1429,0.053883834849545134,1434,0.5362622036262203,1227,0.29991850040749796
