field,n_all_lots,share_all_lots,n_analysis_set,share_analysis_set
at least two live priced bids on the lot,85947,0.9261330574772095,85052,1.0
an identified winning bid,90027,0.9700976272063102,85052,1.0
lot has a contract in the tender document,90392,0.974030732096291,85052,1.0
contract found in the live registry,85857,0.9251632507920088,85052,1.0
registry amountPaid present,76993,0.8296480679295705,76585,0.9004491369985421
registry amountPaid present and positive,74347,0.8011357513846684,73948,0.8694445750834784
registry period.endDate present,85207,0.9181590913988923,84768,0.9966608662935615
tender-copy contract period.endDate present,89646,0.9659921122389604,84672,0.995532145040681
both period end dates present,85111,0.9171246309346781,84672,0.995532145040681
registry changes[] non-empty,47533,0.5121980129738584,47352,0.5567417579833513
value_change_ratio computable,85153,0.9175772073877718,84348,0.991722710812209
winner discount computable,90027,0.9700976272063102,85052,1.0
bid dispersion computable,85947,0.9261330574772095,85052,1.0
lots (denominator),92802,1.0,85052,1.0
