split,label,subset,predictor,n,base_rate,auc,auc_within_buyer,buyers_contributing,auc_within_cpv_year,cpv_year_cells_contributing
test 2021-2022,duration_extension,all test lots,buyer's as-of extension rate,38113,0.09361635137617086,0.6841472494445732,0.551852690003454,1127,0.6566021721400234,80
test 2021-2022,duration_extension,all test lots,winner's as-of extension rate,38113,0.09361635137617086,0.5835542181284307,0.43732059695803904,1127,0.566432557217965,80
test 2021-2022,duration_extension,all test lots,winner's as-of win rate,38113,0.09361635137617086,0.48832352614741154,0.5206469824557224,1127,0.49321365213504686,80
test 2021-2022,duration_extension,all test lots,winner's price as a share of the expected value,38113,0.09361635137617086,0.5413456289872117,0.5866911230481544,1127,0.5213146193225541,80
test 2021-2022,duration_extension,all test lots,log lot value,38113,0.09361635137617086,0.7118932615026737,0.6631987041293965,1127,0.6878126079964612,80
test 2021-2022,duration_extension,winner has 10 or more prior wins,buyer's as-of extension rate,13685,0.08227986846912679,0.7322489713560874,0.5901520158625247,281,0.634551200618873,50
test 2021-2022,duration_extension,winner has 10 or more prior wins,winner's as-of extension rate,13685,0.08227986846912679,0.5174565394146025,0.3727032385988103,281,0.5190836435891532,50
test 2021-2022,duration_extension,winner has 10 or more prior wins,winner's as-of win rate,13685,0.08227986846912679,0.516657787321993,0.4274950429610046,281,0.5028149409198751,50
test 2021-2022,duration_extension,winner has 10 or more prior wins,winner's price as a share of the expected value,13685,0.08227986846912679,0.6384048817114304,0.6659616655651025,281,0.5456839297403165,50
test 2021-2022,duration_extension,winner has 10 or more prior wins,log lot value,13685,0.08227986846912679,0.7102836247017099,0.6384005287508262,281,0.6585538758476517,50
test 2021-2022,duration_extension,buyer has 10 or more prior lots,buyer's as-of extension rate,19507,0.11247244578869124,0.7436644001238182,0.5646460120343106,506,0.703767163670073,75
test 2021-2022,duration_extension,buyer has 10 or more prior lots,winner's as-of extension rate,19507,0.11247244578869124,0.5574571929208801,0.42508641659198565,506,0.5838722727247989,75
test 2021-2022,duration_extension,buyer has 10 or more prior lots,winner's as-of win rate,19507,0.11247244578869124,0.48745811539702727,0.52652669312508,506,0.48436879237061375,75
test 2021-2022,duration_extension,buyer has 10 or more prior lots,winner's price as a share of the expected value,19507,0.11247244578869124,0.55467739108371,0.5900204839329152,506,0.5231603345445486,75
test 2021-2022,duration_extension,buyer has 10 or more prior lots,log lot value,19507,0.11247244578869124,0.7235755470317776,0.6695237485597235,506,0.7158300331799208,75
test 2021-2022,days_extended_gt90,all test lots,buyer's as-of extension rate,38000,0.07473684210526316,0.5958264483087375,0.5549333678050157,828,0.5865321364136449,75
test 2021-2022,days_extended_gt90,all test lots,winner's as-of extension rate,38000,0.07473684210526316,0.579171488687529,0.4759266223235481,828,0.5538000442770171,75
test 2021-2022,days_extended_gt90,all test lots,winner's as-of win rate,38000,0.07473684210526316,0.49656631054815814,0.4968975485933203,828,0.506330087343056,75
test 2021-2022,days_extended_gt90,all test lots,winner's price as a share of the expected value,38000,0.07473684210526316,0.5294505850518355,0.5758866665099772,828,0.5121938191741682,75
test 2021-2022,days_extended_gt90,all test lots,log lot value,38000,0.07473684210526316,0.7228972884519861,0.6059357886572496,828,0.7276083454051298,75
test 2021-2022,days_extended_gt90,winner has 10 or more prior wins,buyer's as-of extension rate,13639,0.06679375320771318,0.5981488645999279,0.56090026478376,244,0.5185680218800194,44
test 2021-2022,days_extended_gt90,winner has 10 or more prior wins,winner's as-of extension rate,13639,0.06679375320771318,0.5496403773006918,0.4546295128819401,244,0.5135719772728053,44
test 2021-2022,days_extended_gt90,winner has 10 or more prior wins,winner's as-of win rate,13639,0.06679375320771318,0.5081468137527158,0.46475854242844533,244,0.4963932084016893,44
test 2021-2022,days_extended_gt90,winner has 10 or more prior wins,winner's price as a share of the expected value,13639,0.06679375320771318,0.5851785065002715,0.5581053250956164,244,0.5100550549461872,44
test 2021-2022,days_extended_gt90,winner has 10 or more prior wins,log lot value,13639,0.06679375320771318,0.7053635864056945,0.5385617618627327,244,0.6764254010630906,44
test 2021-2022,days_extended_gt90,buyer has 10 or more prior lots,buyer's as-of extension rate,19425,0.0990990990990991,0.6337588571428572,0.5595841690232083,418,0.6161342853491716,67
test 2021-2022,days_extended_gt90,buyer has 10 or more prior lots,winner's as-of extension rate,19425,0.0990990990990991,0.5618502857142857,0.46896216660645546,418,0.5662372080546803,67
test 2021-2022,days_extended_gt90,buyer has 10 or more prior lots,winner's as-of win rate,19425,0.0990990990990991,0.4834881038961039,0.4989784859168089,418,0.4911885385090944,67
test 2021-2022,days_extended_gt90,buyer has 10 or more prior lots,winner's price as a share of the expected value,19425,0.0990990990990991,0.5247629833024119,0.5781707423417588,418,0.505540442061079,67
test 2021-2022,days_extended_gt90,buyer has 10 or more prior lots,log lot value,19425,0.0990990990990991,0.7120656326530612,0.6078008794987106,418,0.7280348095181629,67
test 2021-2022,value_growth_gt10,all test lots,buyer's as-of extension rate,38113,0.05732952011124813,0.4289938763874049,0.6364571224179558,796,0.4483528251620963,68
test 2021-2022,value_growth_gt10,all test lots,winner's as-of extension rate,38113,0.05732952011124813,0.4973305051496331,0.47885928045545323,796,0.524034170302911,68
test 2021-2022,value_growth_gt10,all test lots,winner's as-of win rate,38113,0.05732952011124813,0.5046176385315763,0.4367343288920683,796,0.4949290713106655,68
test 2021-2022,value_growth_gt10,all test lots,winner's price as a share of the expected value,38113,0.05732952011124813,0.5180646444172352,0.4528227368923068,796,0.5211704451776482,68
test 2021-2022,value_growth_gt10,all test lots,log lot value,38113,0.05732952011124813,0.504146731041539,0.5332275179588065,796,0.5332024512736762,68
test 2021-2022,value_growth_gt10,winner has 10 or more prior wins,buyer's as-of extension rate,13685,0.054877603215199126,0.4296002834836784,0.5477109762824048,287,0.46217699240753457,41
test 2021-2022,value_growth_gt10,winner has 10 or more prior wins,winner's as-of extension rate,13685,0.054877603215199126,0.48808027109671,0.5495035852178709,287,0.5244806473173228,41
test 2021-2022,value_growth_gt10,winner has 10 or more prior wins,winner's as-of win rate,13685,0.054877603215199126,0.5362656502324512,0.4371207942636514,287,0.5329950810148298,41
test 2021-2022,value_growth_gt10,winner has 10 or more prior wins,winner's price as a share of the expected value,13685,0.054877603215199126,0.5472768950713002,0.5814947600661886,287,0.5415582310593574,41
test 2021-2022,value_growth_gt10,winner has 10 or more prior wins,log lot value,13685,0.054877603215199126,0.5092330889364153,0.5016547159404302,287,0.573699182475956,41
test 2021-2022,value_growth_gt10,buyer has 10 or more prior lots,buyer's as-of extension rate,19507,0.0773568462603168,0.46877145468854464,0.6383276907330131,405,0.5221442510608364,64
test 2021-2022,value_growth_gt10,buyer has 10 or more prior lots,winner's as-of extension rate,19507,0.0773568462603168,0.49156461387249345,0.47807259270923547,405,0.5311741246681341,64
test 2021-2022,value_growth_gt10,buyer has 10 or more prior lots,winner's as-of win rate,19507,0.0773568462603168,0.4766825207218739,0.4311786473506023,405,0.4808283600717057,64
test 2021-2022,value_growth_gt10,buyer has 10 or more prior lots,winner's price as a share of the expected value,19507,0.0773568462603168,0.5336333666703708,0.4516179828359972,405,0.5294375014182305,64
test 2021-2022,value_growth_gt10,buyer has 10 or more prior lots,log lot value,19507,0.0773568462603168,0.4786032664994586,0.532265175970396,405,0.5093188380721142,64
test 2021-2022,any_change,all test lots,buyer's as-of extension rate,38113,0.5570277857948731,0.5661833127158796,0.5863886354750424,3258,0.5480344062114951,88
