label,horizon_months,awarding_agency_code,naics2,type_of_contract_pricing_code,value_quintile,n,mean,parent,shrunk
ceiling_growth_gt25,36,097,33,J,0,7163,0.04341756247382382,0.07009987674531369,0.0435288469765549
ceiling_growth_gt25,36,097,33,J,1,6682,0.039060161628255013,0.07009987674531369,0.0391988969461203
ceiling_growth_gt25,36,097,54,U,2,5042,0.17274890916303054,0.19849279718890708,0.17290117979409844
ceiling_growth_gt25,36,097,23,J,4,4415,0.09445073612684032,0.08968887862301858,0.09441859760600463
ceiling_growth_gt25,36,097,23,J,3,3933,0.10221205186880244,0.08968887862301858,0.10211725116292975
ceiling_growth_gt25,36,097,23,J,1,3795,0.0761528326745718,0.08968887862301858,0.07625899774083414
ceiling_growth_gt25,36,097,23,J,0,3361,0.08211841713775662,0.08968887862301858,0.08218539261536142
ceiling_growth_gt25,36,097,23,J,2,3116,0.09178433889602054,0.08968887862301858,0.09176435675737145
ceiling_growth_gt25,36,097,33,J,2,2883,0.06590357266736038,0.07009987674531369,0.0659467889812425
ceiling_growth_gt25,36,097,33,J,4,2565,0.20389863547758286,0.07009987674531369,0.20235182901825027
ceiling_growth_gt25,36,097,33,J,3,2552,0.09639498432601881,0.07009987674531369,0.09608946409851254
ceiling_growth_gt25,36,012,31,J,3,2466,0.0012165450121654502,0.0012281447677621273,0.0012166844323048332
ceiling_growth_gt25,36,097,54,U,3,2456,0.1486156351791531,0.19849279718890708,0.1492175317440335
ceiling_growth_gt25,36,097,54,U,4,2377,0.2170803533866218,0.19849279718890708,0.21684868463467688
ceiling_growth_gt25,36,012,31,J,2,2127,0.0018805829807240243,0.0012281447677621273,0.0018715087357593248
ceiling_growth_gt25,36,097,54,J,3,2106,0.19990503323836656,0.20277303424649845,0.19994531415140213
ceiling_growth_gt25,36,012,31,J,1,2102,0.0014272121788772598,0.0012281447677621273,0.0014244110426983414
ceiling_growth_gt25,36,097,54,J,2,1927,0.1883757135443695,0.20277303424649845,0.188596418511699
ceiling_growth_gt25,36,012,31,J,0,1907,0.0,0.0012281447677621273,1.9021343847632326e-05
ceiling_growth_gt25,36,097,54,J,4,1816,0.1998898678414097,0.20277303424649845,0.1999367232001056
ceiling_growth_gt25,36,012,31,J,4,1170,0.0017094017094017094,0.0012281447677621273,0.0016973702858607198
ceiling_growth_gt25,36,097,54,J,1,1140,0.22719298245614036,0.20277303424649845,0.2265668299379444
ceiling_growth_gt25,36,097,56,J,4,1017,0.14945919370698132,0.2038862786621064,0.1510187090352084
ceiling_growth_gt25,36,036,23,J,1,1005,0.0736318407960199,0.08128428005092474,0.07385365062949541
ceiling_growth_gt25,36,097,56,J,3,969,0.20123839009287925,0.2038862786621064,0.2013179062661293
ceiling_growth_gt25,36,036,23,J,3,924,0.08874458874458875,0.08128428005092474,0.08850998784227228
ceiling_growth_gt25,36,036,23,J,4,901,0.049944506104328525,0.08128428005092474,0.05095438066759156
ceiling_growth_gt25,36,036,23,J,2,900,0.08888888888888889,0.08128428005092474,0.08864357892637392
ceiling_growth_gt25,36,097,54,J,0,886,0.21557562076749437,0.20277303424649845,0.2151563220823089
ceiling_growth_gt25,36,080,54,J,2,846,0.12174940898345153,0.13302984737406634,0.12213572536669177
ceiling_growth_gt25,36,097,54,U,1,822,0.3236009732360097,0.19849279718890708,0.3191957557695625
ceiling_growth_gt25,36,036,23,J,0,810,0.10864197530864197,0.08128428005092474,0.10766491476372352
ceiling_growth_gt25,36,014,23,J,0,694,0.10951008645533142,0.12802923453148282,0.11027745446953659
ceiling_growth_gt25,36,012,23,J,0,636,0.09905660377358491,0.12049522818984153,0.100022307576119
ceiling_growth_gt25,36,047,23,J,0,575,0.15130434782608695,0.19219757086644104,0.15333211095205493
ceiling_growth_gt25,36,014,23,J,1,571,0.10683012259194395,0.12802923453148282,0.10788831453568135
ceiling_growth_gt25,36,047,23,J,1,503,0.15904572564612326,0.19219757086644104,0.1609116831632143
ceiling_growth_gt25,36,097,54,U,0,472,0.4216101694915254,0.19849279718890708,0.4082764619834008
ceiling_growth_gt25,36,047,23,J,3,462,0.19913419913419914,0.19219757086644104,0.1987112339959212
ceiling_growth_gt25,36,012,23,J,1,449,0.12249443207126949,0.12049522818984153,0.12236922097222389
