label,horizon_months,awarding_agency_code,naics2,type_of_contract_pricing_code,value_quintile,n,mean,parent,shrunk
ceiling_growth_gt25,36,097,33,J,0,7163,0.041742286751361164,0.06730670122015905,0.041848908805311384
ceiling_growth_gt25,36,097,33,J,1,6682,0.03771325950314277,0.06730670122015905,0.037845530547765904
ceiling_growth_gt25,36,097,54,U,2,5042,0.16084886949623164,0.18318114629502144,0.16098096103881124
ceiling_growth_gt25,36,097,23,J,4,4415,0.08221970554926387,0.08034411461227853,0.0822070468927713
ceiling_growth_gt25,36,097,23,J,3,3933,0.09026188660055937,0.08034411461227853,0.09018680884137481
ceiling_growth_gt25,36,097,23,J,1,3795,0.06930171277997364,0.08034411461227853,0.0693883198531682
ceiling_growth_gt25,36,097,23,J,0,3361,0.0749776852127343,0.08034411461227853,0.0750251617335206
ceiling_growth_gt25,36,097,23,J,2,3116,0.084403080872914,0.08034411461227853,0.08436437490094355
ceiling_growth_gt25,36,097,33,J,2,2883,0.06416926812348249,0.06730670122015905,0.06420157948390141
ceiling_growth_gt25,36,097,33,J,4,2565,0.1953216374269006,0.06730670122015905,0.1938416959678631
ceiling_growth_gt25,36,097,33,J,3,2552,0.09130094043887148,0.06730670122015905,0.0910221537709546
ceiling_growth_gt25,36,012,31,J,3,2466,0.0012165450121654502,0.001228131487223951,0.0012166842726829801
ceiling_growth_gt25,36,097,54,U,3,2456,0.13273615635179153,0.18318114629502144,0.13334490522479914
ceiling_growth_gt25,36,097,54,U,4,2377,0.19730753050063105,0.18318114629502144,0.19713146422469907
ceiling_growth_gt25,36,012,31,J,2,2127,0.0018805829807240243,0.001228131487223951,0.0018715085510508662
ceiling_growth_gt25,36,097,54,J,3,2106,0.18566001899335233,0.1861411331256097,0.185666776214311
ceiling_growth_gt25,36,012,31,J,1,2102,0.0014272121788772598,0.001228131487223951,0.0014244108558239767
ceiling_growth_gt25,36,097,54,J,2,1927,0.16865594187856772,0.1861411331256097,0.16892398262328476
ceiling_growth_gt25,36,012,31,J,0,1907,0.0,0.001228131487223951,1.902113816041225e-05
ceiling_growth_gt25,36,097,54,J,4,1816,0.1789647577092511,0.1861411331256097,0.17908138352858521
ceiling_growth_gt25,36,012,31,J,4,1170,0.0017094017094017094,0.001228131487223951,0.0016973699538472653
ceiling_growth_gt25,36,097,54,J,1,1140,0.21052631578947367,0.1861411331256097,0.20990105469552844
ceiling_growth_gt25,36,097,56,J,4,1017,0.1376597836774828,0.1933608026245787,0.13925580141235658
ceiling_growth_gt25,36,036,23,J,1,1005,0.06965174129353234,0.07555722492644074,0.06982291473216737
ceiling_growth_gt25,36,097,56,J,3,969,0.19298245614035087,0.1933608026245787,0.19299381789663397
ceiling_growth_gt25,36,036,23,J,3,924,0.08116883116883117,0.07555722492644074,0.08099236556372455
ceiling_growth_gt25,36,036,23,J,4,901,0.04439511653718091,0.07555722492644074,0.04539926610933751
ceiling_growth_gt25,36,036,23,J,2,900,0.08555555555555555,0.07555722492644074,0.08523302876106799
ceiling_growth_gt25,36,097,54,J,0,886,0.208803611738149,0.1861411331256097,0.20806139082289116
ceiling_growth_gt25,36,080,54,J,2,846,0.08628841607565012,0.10385450826584919,0.08688999457531447
ceiling_growth_gt25,36,097,54,U,1,822,0.2980535279805353,0.18318114629502144,0.2940087258085102
ceiling_growth_gt25,36,036,23,J,0,810,0.1,0.07555722492644074,0.09912704374737288
ceiling_growth_gt25,36,014,23,J,0,694,0.10230547550432277,0.11835078355307219,0.10297033633507206
ceiling_growth_gt25,36,012,23,J,0,636,0.09905660377358491,0.1135918814198167,0.09971134600990166
ceiling_growth_gt25,36,047,23,J,0,575,0.1426086956521739,0.1717540663779256,0.14405392064683928
ceiling_growth_gt25,36,014,23,J,1,571,0.10157618213660245,0.11835078355307219,0.10241351664990377
ceiling_growth_gt25,36,047,23,J,1,503,0.147117296222664,0.1717540663779256,0.14850398122202207
ceiling_growth_gt25,36,097,54,U,0,472,0.413135593220339,0.18318114629502144,0.39939329559532
ceiling_growth_gt25,36,047,23,J,3,462,0.17965367965367965,0.1717540663779256,0.1791719959173532
ceiling_growth_gt25,36,012,23,J,1,449,0.10690423162583519,0.11359188141981669,0.10732308234362109
ceiling_growth_gt25,36,097,56,J,2,436,0.2545871559633027,0.1933608026245787,0.2506455452333419
ceiling_growth_gt25,36,047,23,J,2,418,0.20574162679425836,0.1717540663779256,0.20346567408780752
