bin,n,mean_forecast,observed_rate,gap,model
"[0.0, 0.1)",0,,,,"(b2) cell means, shrunk"
"[0.1, 0.2)",0,,,,"(b2) cell means, shrunk"
"[0.2, 0.3)",0,,,,"(b2) cell means, shrunk"
"[0.3, 0.4)",0,,,,"(b2) cell means, shrunk"
"[0.4, 0.5)",0,,,,"(b2) cell means, shrunk"
"[0.5, 0.6)",81,0.5675304187770593,0.8888888888888888,0.3213584701118295,"(b2) cell means, shrunk"
"[0.6, 0.7)",341,0.6610547640824557,0.7888563049853372,0.12780154090288154,"(b2) cell means, shrunk"
"[0.7, 0.8)",712,0.7426500309256943,0.773876404494382,0.031226373568687738,"(b2) cell means, shrunk"
"[0.8, 0.9)",388,0.8357061724212735,0.8891752577319587,0.05346908531068517,"(b2) cell means, shrunk"
"[0.9, 1.0]",0,,,,"(b2) cell means, shrunk"
"[0.0, 0.1)",1,0.02967687614127745,1.0,0.9703231238587225,(c) PAD text + structured fields
"[0.1, 0.2)",4,0.14183160308833434,0.75,0.6081683969116657,(c) PAD text + structured fields
"[0.2, 0.3)",6,0.24037676013460074,0.5,0.25962323986539926,(c) PAD text + structured fields
"[0.3, 0.4)",11,0.3722621124552845,0.7272727272727273,0.3550106148174428,(c) PAD text + structured fields
"[0.4, 0.5)",15,0.45861249485123784,0.6,0.14138750514876214,(c) PAD text + structured fields
"[0.5, 0.6)",27,0.5510558714753911,0.5555555555555556,0.0044996840801644344,(c) PAD text + structured fields
"[0.6, 0.7)",81,0.657736909279988,0.7160493827160493,0.058312473436061385,(c) PAD text + structured fields
"[0.7, 0.8)",199,0.7613501679682837,0.7386934673366834,-0.0226567006316003,(c) PAD text + structured fields
"[0.8, 0.9)",602,0.8578294462672833,0.8355481727574751,-0.02228127350980824,(c) PAD text + structured fields
"[0.9, 1.0]",576,0.9339298172404712,0.8506944444444444,-0.08323537279602677,(c) PAD text + structured fields
"[0.0, 0.1)",0,,,,(d) PAD text only (TF-IDF)
"[0.1, 0.2)",0,,,,(d) PAD text only (TF-IDF)
"[0.2, 0.3)",0,,,,(d) PAD text only (TF-IDF)
"[0.3, 0.4)",0,,,,(d) PAD text only (TF-IDF)
"[0.4, 0.5)",2,0.4792311071930102,0.5,0.02076889280698979,(d) PAD text only (TF-IDF)
"[0.5, 0.6)",19,0.5615939454873058,0.47368421052631576,-0.08790973496099003,(d) PAD text only (TF-IDF)
"[0.6, 0.7)",84,0.6601209491560031,0.7142857142857143,0.054164765129711245,(d) PAD text only (TF-IDF)
"[0.7, 0.8)",268,0.7596054483261165,0.7761194029850746,0.016513954658958108,(d) PAD text only (TF-IDF)
"[0.8, 0.9)",849,0.8550004689902284,0.7997644287396938,-0.055236040250534635,(d) PAD text only (TF-IDF)
"[0.9, 1.0]",300,0.9212293122287789,0.9333333333333333,0.012104021104554441,(d) PAD text only (TF-IDF)
