approval_year,n_with_qualifying_pad,n_rated,evaluated_share,n_labelled,share_satisfactory,median_implementation_years,median_eval_lag_years
1996,1,1,1.0,1,1.0,7.34839151266256,13.0
1997,75,75,1.0,75,0.8266666666666667,6.7734428473648185,8.0
1998,209,206,0.9856459330143541,200,0.745,6.569472963723477,8.0
1999,209,205,0.9808612440191388,197,0.7969543147208121,6.3709787816564,8.0
2000,220,215,0.9772727272727273,212,0.7169811320754716,6.012320328542094,8.0
2001,212,205,0.9669811320754716,199,0.7336683417085427,6.795345653661875,8.0
2002,189,181,0.9576719576719577,179,0.7374301675977654,6.913073237508556,9.0
2003,202,194,0.9603960396039604,189,0.6349206349206349,7.055441478439425,10.0
2004,250,240,0.96,237,0.6540084388185654,7.069130732375085,9.0
2005,240,220,0.9166666666666666,214,0.6635514018691588,7.025325119780972,9.0
2006,227,209,0.920704845814978,205,0.7121951219512195,6.965092402464066,9.0
2007,218,192,0.8807339449541285,189,0.6984126984126984,6.839151266255989,9.0
2008,230,208,0.9043478260869565,205,0.7219512195121951,6.861054072553046,9.0
2009,208,181,0.8701923076923077,177,0.8022598870056498,6.841889117043121,9.0
2010,218,198,0.908256880733945,197,0.8274111675126904,6.926762491444216,8.0
2011,208,199,0.9567307692307693,198,0.7727272727272727,7.047227926078029,8.0
2012,179,157,0.8770949720670391,157,0.8343949044585988,7.063655030800821,8.0
2013,220,193,0.8772727272727273,193,0.8393782383419689,6.781656399726215,8.0
2014,282,226,0.8014184397163121,226,0.7876106194690266,7.017111567419576,8.5
2015,211,177,0.8388625592417062,177,0.8248587570621468,7.028062970568104,9.0
2016,196,148,0.7551020408163265,148,0.8513513513513513,6.851471594798083,8.0
2017,257,164,0.6381322957198443,164,0.8170731707317073,6.438056125941136,8.0
2018,240,130,0.5416666666666666,130,0.8461538461538461,6.13552361396304,7.0
2019,223,61,0.273542600896861,61,0.7213114754098361,5.535934291581109,7.0
2020,348,48,0.13793103448275862,48,0.7916666666666666,4.023271731690623,5.0
2021,223,11,0.04932735426008968,11,0.6363636363636364,3.0992470910335386,4.0
2022,265,6,0.022641509433962263,6,1.0,2.7665982203969883,4.5
2023,207,3,0.014492753623188406,3,0.6666666666666666,2.0095824777549622,3.0
2024,189,0,0.0,,,,
2025,212,0,0.0,,,,
2026,144,0,0.0,,,,
