year,n,agree,bank_higher,bank_lower,mean_gap
1993,1,1.0,0.0,0.0,0.0
1994,3,0.3333333333333333,0.6666666666666666,0.0,1.0
1995,10,0.8,0.1,0.1,0.0
1996,9,0.5555555555555556,0.4444444444444444,0.0,0.4444444444444444
1997,19,0.631578947368421,0.2631578947368421,0.10526315789473684,0.15789473684210525
1998,61,0.5573770491803278,0.3442622950819672,0.09836065573770492,0.3114754098360656
1999,75,0.56,0.4266666666666667,0.013333333333333334,0.5333333333333333
2000,109,0.5963302752293578,0.3761467889908257,0.027522935779816515,0.43119266055045874
2001,167,0.6526946107784432,0.3413173652694611,0.005988023952095809,0.3712574850299401
2002,184,0.625,0.3423913043478261,0.03260869565217391,0.391304347826087
2003,211,0.5639810426540285,0.4218009478672986,0.014218009478672985,0.46445497630331756
2004,239,0.5899581589958159,0.38493723849372385,0.02510460251046025,0.39748953974895396
2005,287,0.5679442508710801,0.40069686411149824,0.0313588850174216,0.445993031358885
2006,309,0.6440129449838188,0.32038834951456313,0.03559870550161812,0.32038834951456313
2007,298,0.6342281879194631,0.3389261744966443,0.026845637583892617,0.35906040268456374
2008,291,0.6735395189003437,0.27835051546391754,0.048109965635738834,0.26804123711340205
2009,295,0.6813559322033899,0.2983050847457627,0.020338983050847456,0.3152542372881356
2010,331,0.7341389728096677,0.24773413897280966,0.01812688821752266,0.24471299093655588
2011,320,0.709375,0.265625,0.025,0.26875
2012,236,0.7584745762711864,0.19915254237288135,0.0423728813559322,0.18220338983050846
2013,265,0.7396226415094339,0.23018867924528302,0.03018867924528302,0.22264150943396227
2014,304,0.7302631578947368,0.24342105263157895,0.02631578947368421,0.22039473684210525
2015,271,0.7195571955719557,0.25830258302583026,0.02214022140221402,0.25461254612546125
2016,212,0.7594339622641509,0.23113207547169812,0.009433962264150943,0.22169811320754718
2017,231,0.7965367965367965,0.16883116883116883,0.03463203463203463,0.14285714285714285
2018,169,0.7928994082840237,0.17751479289940827,0.029585798816568046,0.15384615384615385
2019,153,0.7908496732026143,0.17647058823529413,0.032679738562091505,0.1503267973856209
2020,101,0.8316831683168316,0.12871287128712872,0.039603960396039604,0.0891089108910891
2021,82,0.7926829268292683,0.14634146341463414,0.06097560975609756,0.08536585365853659
2022,32,0.84375,0.15625,0.0,0.15625
2023,14,0.9285714285714286,0.07142857142857142,0.0,0.07142857142857142
2024,4,0.25,0.75,0.0,0.75
