year,n,agree,bank_higher,bank_lower,mean_gap
1992,4,0.5,0.5,0.0,0.5
1993,2,0.0,1.0,0.0,1.0
1994,4,0.75,0.25,0.0,0.5
1995,62,0.6451612903225806,0.3387096774193548,0.016129032258064516,0.3870967741935484
1996,63,0.5873015873015873,0.38095238095238093,0.031746031746031744,0.49206349206349204
1997,60,0.65,0.3333333333333333,0.016666666666666666,0.4
1998,106,0.5566037735849056,0.33962264150943394,0.10377358490566038,0.33962264150943394
1999,102,0.47058823529411764,0.5,0.029411764705882353,0.5784313725490197
2000,101,0.5544554455445545,0.4158415841584158,0.0297029702970297,0.46534653465346537
2001,110,0.5818181818181818,0.4090909090909091,0.00909090909090909,0.45454545454545453
2002,97,0.7216494845360825,0.26804123711340205,0.010309278350515464,0.31958762886597936
2003,120,0.6333333333333333,0.35833333333333334,0.008333333333333333,0.425
2004,115,0.5826086956521739,0.4,0.017391304347826087,0.40869565217391307
2005,110,0.6181818181818182,0.33636363636363636,0.045454545454545456,0.32727272727272727
2006,104,0.6634615384615384,0.3076923076923077,0.028846153846153848,0.28846153846153844
2007,109,0.6788990825688074,0.29357798165137616,0.027522935779816515,0.28440366972477066
2008,88,0.6818181818181818,0.26136363636363635,0.056818181818181816,0.2159090909090909
2009,74,0.7297297297297297,0.2702702702702703,0.0,0.28378378378378377
2010,59,0.7966101694915254,0.2033898305084746,0.0,0.22033898305084745
2011,83,0.6626506024096386,0.3132530120481928,0.024096385542168676,0.3373493975903614
2012,51,0.8627450980392157,0.0784313725490196,0.058823529411764705,0.0196078431372549
2013,52,0.75,0.23076923076923078,0.019230769230769232,0.2692307692307692
2014,51,0.6862745098039216,0.27450980392156865,0.0392156862745098,0.23529411764705882
2015,29,0.6206896551724138,0.3103448275862069,0.06896551724137931,0.27586206896551724
2016,21,0.7619047619047619,0.23809523809523808,0.0,0.23809523809523808
2017,10,0.9,0.0,0.1,-0.1
2018,4,0.75,0.25,0.0,0.25
2019,3,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333
