projectid,txturl
P000304,http://documents.worldbank.org/curated/en/918701468743737845/text/multi-page.txt
P000306,http://documents.worldbank.org/curated/en/805061468770375790/text/multi-page.txt
P000309,http://documents.worldbank.org/curated/en/897661468769899771/text/multi0page.txt
P000432,http://documents.worldbank.org/curated/en/470141468769475153/text/multi-page.txt
P000527,http://documents.worldbank.org/curated/en/822101468743102731/text/multi0page.txt
P000732,http://documents.worldbank.org/curated/en/621451468749078565/text/multi-page.txt
P000733,http://documents.worldbank.org/curated/en/598481468770506116/text/multi-page.txt
P000756,http://documents.worldbank.org/curated/en/621431468770505812/text/multi0page.txt
P000825,http://documents.worldbank.org/curated/en/266271468771029498/text/multi0page.txt
P000946,http://documents.worldbank.org/curated/en/813781468771068989/text/multi-page.txt
P000968,http://documents.worldbank.org/curated/en/995481468771085346/text/multi-page.txt
P000970,http://documents.worldbank.org/curated/en/329571468749776196/text/multi0page.txt
P000974,http://documents.worldbank.org/curated/en/638381468771622789/text/multi-page.txt
P001001,http://documents.worldbank.org/curated/en/611541468771074425/text/multi0page.txt
P001015,http://documents.worldbank.org/curated/en/359001468749075408/text/multi-page.txt
P001074,http://documents.worldbank.org/curated/en/997701468749964833/text/multi-page.txt
P001402,http://documents.worldbank.org/curated/en/628391468756998992/text/multi0page.txt
P001409,http://documents.worldbank.org/curated/en/623071468772458459/text/multi0page.txt
P001559,http://documents.worldbank.org/curated/en/561121468777012858/text/multi-page.txt
P001564,http://documents.worldbank.org/curated/en/334031468757231648/text/multi-page.txt
P001568,http://documents.worldbank.org/curated/en/639541468757193393/text/multi0page.txt
P001666,http://documents.worldbank.org/curated/en/502901468773387580/text/multi-page.txt
P001670,http://documents.worldbank.org/curated/en/312091468758684378/text/multi-page.txt
P001748,http://documents.worldbank.org/curated/en/270751468756312439/text/multi-page.txt
P001785,http://documents.worldbank.org/curated/en/126651468779683355/text/multi0page.txt
P001786,http://documents.worldbank.org/curated/en/795871468757005080/text/multi-page.txt
P001799,http://documents.worldbank.org/curated/en/523851468758086701/text/multi-page.txt
P001806,http://documents.worldbank.org/curated/en/614621468775149734/text/multi0page.txt
P001807,http://documents.worldbank.org/curated/en/389181468758089933/text/263650MOZ0idar20031020511.txt
P001808,http://documents.worldbank.org/curated/en/279851468775176962/text/multi0page.txt
P001921,http://documents.worldbank.org/curated/en/463711468757476377/text/multi0page.txt
P002366,http://documents.worldbank.org/curated/en/227251468777942949/text/multi-page.txt
P002367,http://documents.worldbank.org/curated/en/971361468777555429/text/multi-page.txt
P002797,http://documents.worldbank.org/curated/en/418391468761059141/text/multi0page.txt
P002804,http://documents.worldbank.org/curated/en/664171468778228204/text/multi-page.txt
P002952,http://documents.worldbank.org/curated/en/717151468765311304/text/multi0page.txt
P002970,http://documents.worldbank.org/curated/en/798851468778170365/text/multi-page.txt
P002984,http://documents.worldbank.org/curated/en/589591468760240369/text/multi0page.txt
P002992,http://documents.worldbank.org/curated/en/247361468765562390/text/multi-page.txt
P003227,http://documents.worldbank.org/curated/en/589541468782080213/text/multi-page.txt
P003248,http://documents.worldbank.org/curated/en/153531468763820140/text/multi0page.txt
P003249,http://documents.worldbank.org/curated/en/418231468781484352/text/multi-page.txt
P003318,http://documents.worldbank.org/curated/en/424651468764085072/text/multi-page.txt
P003331,http://documents.worldbank.org/curated/en/685011468781170641/text/multi-page.txt
P003539,http://documents.worldbank.org/curated/en/589921468769154903/text/multi-page.txt
P003566,http://documents.worldbank.org/curated/en/406281468769778128/text/multi0page.txt
P003606,http://documents.worldbank.org/curated/en/463211468743764158/text/multi-page.txt
P003614,http://documents.worldbank.org/curated/en/333391468743673744/text/multi-page.txt
P003619,http://documents.worldbank.org/curated/en/343461468746663601/text/multi-page.txt
P003653,http://documents.worldbank.org/curated/en/539611468770426752/text/multi-page.txt
P003967,http://documents.worldbank.org/curated/en/948141468771685490/text/multi0page.txt
P003993,http://documents.worldbank.org/curated/en/640981468772804886/text/multi-page.txt
P004030,http://documents.worldbank.org/curated/en/249021468744080506/text/multi-page.txt
P004397,http://documents.worldbank.org/curated/en/262651468775145760/text/multi0page.txt
P004398,http://documents.worldbank.org/curated/en/472151468780905814/text/R200100203.txt
P004566,http://documents.worldbank.org/curated/en/520711468776046682/text/multi0page.txt
P004595,http://documents.worldbank.org/curated/en/174961468758970529/text/multi-page.txt
P004823,http://documents.worldbank.org/curated/en/725171468761427229/text/multi0page.txt
P004828,http://documents.worldbank.org/curated/en/153751468761976081/text/multi-page.txt
P004833,http://documents.worldbank.org/curated/en/599501468764395009/text/multi-page.txt
P004844,http://documents.worldbank.org/curated/en/756941468780600639/text/multi-page.txt
P004845,http://documents.worldbank.org/curated/en/303321468761710236/text/multi-page.txt
P005519,http://documents.worldbank.org/curated/en/928811468758130219/text/multi-page.txt
P005523,http://documents.worldbank.org/curated/en/216261468756968650/text/multi-page.txt
P005524,http://documents.worldbank.org/curated/en/710131468758124444/text/multi-page.txt
P005525,http://documents.worldbank.org/curated/en/433661468756949072/text/multi-page.txt
P005736,http://documents.worldbank.org/curated/en/179201468760571354/text/multi-page.txt
P005741,http://documents.worldbank.org/curated/en/454481468311360839/text/multi-page.txt
P005746,http://documents.worldbank.org/curated/en/173441468777570726/text/multi0page.txt
P005750,http://documents.worldbank.org/curated/en/773011468778167522/text/multi0page.txt
P005906,http://documents.worldbank.org/curated/en/969301468764101772/text/multi-page.txt
P005907,http://documents.worldbank.org/curated/en/312711468782165600/text/multi-page.txt
P006041,http://documents.worldbank.org/curated/en/324291468741669308/text/multi-page.txt
P006043,http://documents.worldbank.org/curated/en/271841468768697115/text/multi-page.txt
P006046,http://documents.worldbank.org/curated/en/146641468741389757/text/multi-page.txt
P006050,http://documents.worldbank.org/curated/en/173171468767393073/text/multi-page.txt
P006058,http://documents.worldbank.org/curated/en/475641468742820285/text/multi-page.txt
P006059,http://documents.worldbank.org/curated/en/413141468742833963/text/multi0page.txt
P006204,http://documents.worldbank.org/curated/en/604181468769751133/text/multi-page.txt
P006449,http://documents.worldbank.org/curated/en/343171468769763405/text/multi-page.txt
P006475,http://documents.worldbank.org/curated/en/343591468769762775/text/multi0page.txt
P006549,http://documents.worldbank.org/curated/en/229381468743798142/text/multi-page.txt
P006553,http://documents.worldbank.org/curated/en/469521468016230708/text/474930PAD0P0061B01Official0Use0Only.txt
P006559,http://documents.worldbank.org/curated/en/697091468769465915/text/multi-page.txt
P006861,http://documents.worldbank.org/curated/en/256521468746390643/text/multi-page.txt
P006891,http://documents.worldbank.org/curated/en/638121468744029682/text/multi0page.txt
P007015,http://documents.worldbank.org/curated/en/485631468746720409/text/multi0page.txt
