column,dtype,non_null,distinct,known_at_board_approval,source,observed_values_if_few
ieg_as_of_date,str,4253,1,False,Finances One IEG bulk CSV (DS00053/RS00055),09/13/2026
projectid,str,4253,4253,True,derived in src/dataset.py or Projects API scalar field,
ieg_project_name,str,4253,4140,False,Finances One IEG bulk CSV (DS00053/RS00055),
ieg_region,str,4253,9,True,Finances One IEG bulk CSV (DS00053/RS00055),"Africa; East Asia and Pacific; Eastern and Southern Africa; Europe and Central Asia; Latin America and Caribbean; Middle East, North Africa, Afghanistan, and Pakistan; Other; South Asia; Western and Central Africa"
ieg_country,str,4253,166,True,Finances One IEG bulk CSV (DS00053/RS00055),
ieg_country_lending_group,str,4253,4,True,Finances One IEG bulk CSV (DS00053/RS00055),BLEND; IBRD; IDA; OTHER
ieg_country_fcs_status,str,4253,2,True,Finances One IEG bulk CSV (DS00053/RS00055),FCS; non-FCS
ieg_country_fcs_lending_group,str,4253,8,False,Finances One IEG bulk CSV (DS00053/RS00055),BLEND FCS; BLEND non-FCS; IBRD FCS; IBRD non-FCS; IDA FCS; IDA non-FCS; OTHER FCS; OTHER non-FCS
ieg_practice_group,str,4248,6,True,Finances One IEG bulk CSV (DS00053/RS00055),"Digital; Equitable Growth, Finance and Institutions; Human Development; Infrastructure; Other; Sustainable Development"
ieg_global_practice,str,4253,17,True,Finances One IEG bulk CSV (DS00053/RS00055),
ieg_agreement_type,str,4253,7,True,Finances One IEG bulk CSV (DS00053/RS00055),GEF; IBRD; IDA; MONT; RETF; SPF; Special Financing
ieg_lending_instrument_type,str,4253,2,True,Finances One IEG bulk CSV (DS00053/RS00055),DPF; IPF
ieg_approval_fy,int64,4253,27,False,Finances One IEG bulk CSV (DS00053/RS00055),
ieg_final_closing_fy,int64,4253,29,False,Finances One IEG bulk CSV (DS00053/RS00055),
ieg_evaluation_type,str,4253,2,False,Finances One IEG bulk CSV (DS00053/RS00055),ICRR; PPAR
ieg_outcome,str,4253,7,False,Finances One IEG bulk CSV (DS00053/RS00055),Highly Satisfactory; Highly Unsatisfactory; Moderately Satisfactory; Moderately Unsatisfactory; Not Rated; Satisfactory; Unsatisfactory
ieg_quality_at_entry,str,4253,7,False,Finances One IEG bulk CSV (DS00053/RS00055),Highly Satisfactory; Highly Unsatisfactory; Moderately Satisfactory; Moderately Unsatisfactory; Not Rated; Satisfactory; Unsatisfactory
ieg_quality_of_supervision,str,4253,7,False,Finances One IEG bulk CSV (DS00053/RS00055),Highly Satisfactory; Highly Unsatisfactory; Moderately Satisfactory; Moderately Unsatisfactory; Not Rated; Satisfactory; Unsatisfactory
ieg_bank_performance,str,4253,7,False,Finances One IEG bulk CSV (DS00053/RS00055),Highly Satisfactory; Highly Unsatisfactory; Moderately Satisfactory; Moderately Unsatisfactory; Not Rated; Satisfactory; Unsatisfactory
ieg_me_quality,str,4253,5,False,Finances One IEG bulk CSV (DS00053/RS00055),High; Modest; Negligible; Not Rated; Substantial
ieg_evaluation_fy,int64,4253,28,False,Finances One IEG bulk CSV (DS00053/RS00055),
