projectid,id,docdt,reject_reason
P515018,40124314,2026-08-26T04:00:00Z,docdt_after_approval_plus_grace
P512820,40116766,2026-07-07T04:00:00Z,no_board_approval_date
P115893,40108698,2026-06-10T04:00:00Z,docdt_after_approval_plus_grace
P512869,40107691,2026-06-04T04:00:00Z,no_board_approval_date
P512854,40107026,2026-06-02T04:00:00Z,no_board_approval_date
P513141,40106893,2026-06-01T04:00:00Z,no_board_approval_date
P512778,40106676,2026-05-29T04:00:00Z,no_board_approval_date
P514393,40105345,2026-05-21T04:00:00Z,no_board_approval_date
P514747,40103385,2026-05-10T04:00:00Z,no_board_approval_date
P176263,40119409,2026-05-09T04:00:00Z,docdt_after_approval_plus_grace
P512871,40097641,2026-04-15T04:00:00Z,no_board_approval_date
P514153,40091478,2026-03-10T04:00:00Z,no_board_approval_date
P505188,34340405,2024-08-08T04:00:00Z,docdt_after_approval_plus_grace
P180770,34326548,2024-07-24T04:00:00Z,docdt_after_approval_plus_grace
P176013,34389000,2024-06-28T04:00:00Z,docdt_after_approval_plus_grace
P180263,34338754,2024-05-07T04:00:00Z,docdt_after_approval_plus_grace
P173620,40051356,2024-04-10T04:00:00Z,docdt_after_approval_plus_grace
P176932,34295176,2024-04-03T04:00:00Z,docdt_after_approval_plus_grace
P179014,34123081,2023-07-25T04:00:00Z,docdt_after_approval_plus_grace
P174595,34051258,2023-04-27T04:00:00Z,docdt_after_approval_plus_grace
P162957,34022234,2023-03-15T04:00:00Z,docdt_after_approval_plus_grace
P178587,33875167,2022-07-28T04:00:00Z,docdt_after_approval_plus_grace
P178936,33811072,2022-05-02T04:00:00Z,no_board_approval_date
P173903,32292868,2020-07-28T04:00:00Z,docdt_after_approval_plus_grace
P145482,31739677,2020-01-23T05:00:00Z,docdt_after_approval_plus_grace
P162454,31173186,2019-06-19T04:00:00Z,docdt_after_approval_plus_grace
P117876,29905863,2018-04-19T04:00:00Z,docdt_after_approval_plus_grace
P117876,29852098,2018-04-19T04:00:00Z,docdt_after_approval_plus_grace
P132317,29280051,2017-12-12T05:00:00Z,docdt_after_approval_plus_grace
P148839,27226132,2017-02-27T05:00:00Z,docdt_after_approval_plus_grace
P125565,26566584,2016-07-07T04:00:00Z,docdt_after_approval_plus_grace
P150930,26738478,2016-06-27T04:00:00Z,docdt_after_approval_plus_grace
P149677,25777948,2016-01-14T05:00:00Z,docdt_after_approval_plus_grace
P145241,26586623,2015-11-25T05:00:00Z,docdt_after_approval_plus_grace
P145040,24549111,2015-05-12T04:00:00Z,docdt_after_approval_plus_grace
P151036,24116612,2015-02-25T05:00:00Z,no_board_approval_date
P151783,20474566,2014-11-24T05:00:00Z,no_board_approval_date
P127143,19411786,2014-04-21T04:00:00Z,docdt_after_approval_plus_grace
P127702,18556238,2013-11-26T05:00:00Z,docdt_after_approval_plus_grace
P143367,19665623,2013-10-31T04:00:00Z,docdt_after_approval_plus_grace
P143193,26586772,2013-10-01T04:00:00Z,no_board_approval_date
P110112,17872334,2013-06-01T04:00:00Z,docdt_after_approval_plus_grace
P121917,19458048,2013-05-01T04:00:00Z,no_board_approval_date
P131138,27534384,2013-03-26T04:00:00Z,docdt_after_approval_plus_grace
P130461,17564922,2012-12-17T05:00:00Z,docdt_after_approval_plus_grace
P143193,26271605,2012-10-01T04:00:00Z,no_board_approval_date
P006553,17207149,2012-03-01T05:00:00Z,docdt_after_approval_plus_grace
P006553,15949044,2012-03-01T05:00:00Z,docdt_after_approval_plus_grace
P113220,15927235,2012-03-01T05:00:00Z,docdt_after_approval_plus_grace
P124988,15622157,2011-12-21T05:00:00Z,no_board_approval_date
P124988,16222416,2011-12-21T05:00:00Z,no_board_approval_date
P125784,16569538,2011-10-13T04:00:00Z,docdt_after_approval_plus_grace
P110087,13800798,2011-02-11T05:00:00Z,no_board_approval_date
P119404,14250647,2011-02-03T05:00:00Z,no_board_approval_date
P093719,14473209,2010-12-14T05:00:00Z,docdt_after_approval_plus_grace
P078058,12336765,2010-05-18T04:00:00Z,docdt_after_approval_plus_grace
P113751,16290780,2009-10-30T04:00:00Z,no_board_approval_date
P009127,11385833,2009-10-29T04:00:00Z,docdt_after_approval_plus_grace
P114884,11185490,2009-10-02T04:00:00Z,no_board_approval_date
P084967,11040832,2009-08-14T04:00:00Z,docdt_after_approval_plus_grace
P100533,10688055,2009-05-29T04:00:00Z,no_board_approval_date
P112321,11077291,2009-04-02T04:00:00Z,docdt_after_approval_plus_grace
P112321,11077285,2009-04-02T04:00:00Z,docdt_after_approval_plus_grace
P106675,10251431,2009-02-03T05:00:00Z,no_board_approval_date
P106165,17414742,2008-10-08T04:00:00Z,docdt_after_approval_plus_grace
P074086,9965585,2008-09-30T04:00:00Z,docdt_after_approval_plus_grace
P079161,9447465,2008-05-08T04:00:00Z,docdt_after_approval_plus_grace
P077317,9398716,2008-04-24T04:00:00Z,docdt_after_approval_plus_grace
P084742,9333929,2008-03-18T04:00:00Z,docdt_after_approval_plus_grace
P102476,10787808,2008-01-16T05:00:00Z,no_board_approval_date
P102472,10793621,2007-12-01T05:00:00Z,docdt_after_approval_plus_grace
P103712,9697481,2007-11-09T05:00:00Z,docdt_after_approval_plus_grace
P083581,8177431,2007-08-10T04:00:00Z,docdt_after_approval_plus_grace
P069889,7583141,2007-04-26T04:00:00Z,docdt_after_approval_plus_grace
P099672,7411733,2007-02-12T05:00:00Z,docdt_after_approval_plus_grace
P099670,7411733,2007-02-12T05:00:00Z,docdt_after_approval_plus_grace
P101785,7467649,2007-01-31T05:00:00Z,docdt_after_approval_plus_grace
P094495,7557011,2007-01-24T05:00:00Z,docdt_after_approval_plus_grace
P106450,10810204,2007-01-08T05:00:00Z,no_board_approval_date
P075776,7219893,2006-11-07T05:00:00Z,docdt_after_approval_plus_grace
P075776,7219777,2006-11-07T05:00:00Z,docdt_after_approval_plus_grace
P075776,7219846,2006-11-07T05:00:00Z,docdt_after_approval_plus_grace
P075776,7219820,2006-11-07T05:00:00Z,docdt_after_approval_plus_grace
P091984,7086886,2006-09-06T04:00:00Z,no_board_approval_date
P092987,7138458,2006-08-02T04:00:00Z,docdt_after_approval_plus_grace
P082916,6783463,2006-05-16T04:00:00Z,docdt_after_approval_plus_grace
P086775,6448765,2005-11-22T05:00:00Z,docdt_after_approval_plus_grace
P075947,6441052,2005-11-01T05:00:00Z,docdt_after_approval_plus_grace
P075945,6440927,2005-11-01T05:00:00Z,docdt_after_approval_plus_grace
P088828,6619227,2005-09-19T04:00:00Z,docdt_after_approval_plus_grace
P049395,6058379,2005-06-27T04:00:00Z,docdt_after_approval_plus_grace
P088967,6045606,2005-06-21T04:00:00Z,no_board_approval_date
P088934,6242888,2005-05-31T04:00:00Z,docdt_after_approval_plus_grace
P064082,6336275,2005-02-21T05:00:00Z,docdt_after_approval_plus_grace
P088679,5700516,2004-12-28T05:00:00Z,no_board_approval_date
P077661,9419679,2004-11-15T05:00:00Z,no_board_approval_date
P079320,5184234,2004-10-07T04:00:00Z,docdt_after_approval_plus_grace
P083993,3027821,2004-03-25T05:00:00Z,no_board_approval_date
P088436,3027821,2004-03-25T05:00:00Z,no_board_approval_date
P080823,2102958,2002-12-09T05:00:00Z,no_board_approval_date
P092289,1811280,2002-06-04T04:00:00Z,no_board_approval_date
P068049,1798548,2002-05-30T04:00:00Z,docdt_after_approval_plus_grace
P056223,1561416,2001-08-20T04:00:00Z,docdt_after_approval_plus_grace
P069762,729030,2000-05-15T04:00:00Z,docdt_after_approval_plus_grace
P008250,441498,1997-10-20T04:00:00Z,docdt_after_approval_plus_grace
P001074,18082379,1999-03-24T05:00:00Z,same_date_duplicate_or_translation
P005524,11054238,1998-10-07T04:00:00Z,same_date_duplicate_or_translation
P005525,16952633,1998-11-19T05:00:00Z,same_date_duplicate_or_translation
P005741,5055426,1998-02-20T05:00:00Z,same_date_duplicate_or_translation
P005750,4998814,2001-05-25T04:00:00Z,same_date_duplicate_or_translation
P010530,40118850,1997-10-20T04:00:00Z,same_date_duplicate_or_translation
P035707,4963641,2000-05-10T04:00:00Z,same_date_duplicate_or_translation
P043700,6336289,1998-06-03T04:00:00Z,same_date_duplicate_or_translation
P044584,16952296,1999-05-05T04:00:00Z,same_date_duplicate_or_translation
P046031,16773321,1998-06-19T04:00:00Z,same_date_duplicate_or_translation
P046045,12041956,2001-05-07T04:00:00Z,later_version_within_grace_window
P048202,5723598,2000-03-30T05:00:00Z,same_date_duplicate_or_translation
P048204,6102525,2000-03-30T05:00:00Z,same_date_duplicate_or_translation
P048315,4998816,2002-06-06T04:00:00Z,later_version_within_grace_window
P048697,16755153,1997-06-04T04:00:00Z,same_date_duplicate_or_translation
P048825,4998839,2001-05-16T04:00:00Z,same_date_duplicate_or_translation
P050418,16769188,1997-12-30T05:00:00Z,same_date_duplicate_or_translation
P050886,16953090,1998-12-08T05:00:00Z,same_date_duplicate_or_translation
P050945,4963155,2000-05-30T04:00:00Z,same_date_duplicate_or_translation
P052247,16953515,1999-04-13T04:00:00Z,same_date_duplicate_or_translation
P054886,1551984,2001-04-09T04:00:00Z,same_date_duplicate_or_translation
P054937,7449815,2002-07-31T04:00:00Z,same_date_duplicate_or_translation
P055814,4996080,1999-04-30T04:00:00Z,same_date_duplicate_or_translation
P057996,10262347,1999-12-20T05:00:00Z,same_date_duplicate_or_translation
P058770,9885431,2000-01-21T05:00:00Z,same_date_duplicate_or_translation
P062840,5724064,1999-12-29T05:00:00Z,same_date_duplicate_or_translation
P064836,6694794,2005-10-01T04:00:00Z,later_version_within_grace_window
P064883,2297349,2003-04-30T04:00:00Z,later_version_within_grace_window
P064918,16368776,2007-02-13T05:00:00Z,later_version_within_grace_window
P064983,11049104,2002-06-05T04:00:00Z,same_date_duplicate_or_translation
P065757,11053689,2000-06-16T04:00:00Z,later_version_within_grace_window
P069124,2509655,2003-05-15T04:00:00Z,same_date_duplicate_or_translation
P069460,6337330,2005-02-09T05:00:00Z,same_date_duplicate_or_translation
P072226,7033801,2001-06-13T04:00:00Z,same_date_duplicate_or_translation
P072317,4963653,2002-09-30T04:00:00Z,later_version_within_grace_window
P072458,11049143,2001-07-13T04:00:00Z,same_date_duplicate_or_translation
P072960,10805645,2003-03-12T05:00:00Z,same_date_duplicate_or_translation
P072960,10812224,2003-03-12T05:00:00Z,same_date_duplicate_or_translation
P073242,2355576,2003-05-19T04:00:00Z,later_version_within_grace_window
P073603,2361803,2003-04-30T04:00:00Z,same_date_duplicate_or_translation
P074398,10805809,2002-11-07T05:00:00Z,same_date_duplicate_or_translation
