projectid,old_url,txturl
P001074,http://documents.worldbank.org/curated/en/887311468274244998/text/190840PAD0Fren00Box173251B00PUBLIC0.txt,http://documents.worldbank.org/curated/en/997701468749964833/text/multi-page.txt
P005524,http://documents.worldbank.org/curated/en/186551468274477393/text/184620FRENCH0Box0341991B01PUBLIC1.txt,http://documents.worldbank.org/curated/en/710131468758124444/text/multi-page.txt
P005525,http://documents.worldbank.org/curated/en/775991468062961231/text/NonAsciiFileName0.txt,http://documents.worldbank.org/curated/en/433661468756949072/text/multi-page.txt
P005741,http://documents.worldbank.org/curated/en/235581468311466988/text/173720FRENCH0TN1L4297.txt,http://documents.worldbank.org/curated/en/454481468311360839/text/multi-page.txt
P044584,http://documents.worldbank.org/curated/en/322231468234331703/text/NonAsciiFileName0.txt,http://documents.worldbank.org/curated/en/265211468749726440/text/multi-page.txt
P046031,http://documents.worldbank.org/curated/en/672271468018047938/text/181480PAD0SPANISH0Box144000B00PUBLIC0.txt,http://documents.worldbank.org/curated/en/904751468770418312/text/multi-page.txt
P046045,http://documents.worldbank.org/curated/en/190821468270578441/text/221900PAD0P04600Box345628B00PUBLIC0.txt,http://documents.worldbank.org/curated/en/617961468752125207/text/multi0page.txt
P048697,http://documents.worldbank.org/curated/en/717181468054270287/text/165890SAR0FRENCH0Box145918B00PUBLIC0.txt,http://documents.worldbank.org/curated/en/952781468757231339/text/multi-page.txt
P050418,http://documents.worldbank.org/curated/en/729191468313185523/text/172080SAR0FRENCH0Box128970B00PUBLIC0.txt,http://documents.worldbank.org/curated/en/513331468778166163/text/multi-page.txt
P050886,http://documents.worldbank.org/curated/en/813881468227115519/text/NonAsciiFileName0.txt,http://documents.worldbank.org/curated/en/251461468742508091/text/multi-page.txt
P052247,http://documents.worldbank.org/curated/en/834541468061132745/text/NonAsciiFileName0.txt,http://documents.worldbank.org/curated/en/535051468758127882/text/multi-page.txt
P057996,http://documents.worldbank.org/curated/en/992511468307175546/text/199630FRENCH0BOX0334127B.txt,http://documents.worldbank.org/curated/en/265491468759900781/text/multi-page.txt
P064836,http://documents.worldbank.org/curated/en/712441468175458547/text/333970FRENCH0TN0AEP0des0Centres0Urbains.txt,http://documents.worldbank.org/curated/en/572471468113358621/text/33397.txt
P064983,http://documents.worldbank.org/curated/en/971341468002103695/text/214460FRENCH0D1Box0342042B01PUBLIC1.txt,http://documents.worldbank.org/curated/en/533931468742871997/text/multi0page.txt
P072458,http://documents.worldbank.org/curated/en/987941468009591128/text/225010FRENCH0Box0342042B01PUBLIC10.txt,http://documents.worldbank.org/curated/en/799951468768713812/text/multi0page.txt
P075808,http://documents.worldbank.org/curated/en/718581468123561480/text/239180FRENCH0Box0341991B0MA1Ln4679.txt,http://documents.worldbank.org/curated/en/780891468757835334/text/multi0page.txt
P078342,http://documents.worldbank.org/curated/en/532641468039036024/text/383250RUSSIAN000PAD0supplemented0ru.txt,http://documents.worldbank.org/curated/en/649311468292846147/text/383250KZ0R20071000811ok.txt
