projectid,txturl,http_status,text_bytes,text_sha256,status,cached
P000304,http://documents.worldbank.org/curated/en/918701468743737845/text/multi-page.txt,200,144410,c92f24bc81609f7bc38f675f31e404c3ffffc579ff53f0d611b8ac24e234c2f9,ok,True
P000306,http://documents.worldbank.org/curated/en/805061468770375790/text/multi-page.txt,200,248696,83d592e3dd438dea33c28b31eff3e19b3e3ae10c5adfd488dc6fb493c8e4d3e9,ok,True
P000309,http://documents.worldbank.org/curated/en/897661468769899771/text/multi0page.txt,200,312876,c289b909bc4654dafde04e1314389fc0dbd32d0aad776e882e17e42eaa793920,ok,True
P000432,http://documents.worldbank.org/curated/en/470141468769475153/text/multi-page.txt,200,149453,649618b4c9d0b79dec4801a5888082f75bd42fc85e3e0e1fea52d1ba3d323334,ok,True
P000527,http://documents.worldbank.org/curated/en/822101468743102731/text/multi0page.txt,200,508009,ef0edc69dd1cb4e8af40c7a90313e4561c7184850132c65c9b6067bcbb168f1b,ok,True
P000733,http://documents.worldbank.org/curated/en/598481468770506116/text/multi-page.txt,200,174385,4026ac374d36920c6faeb685d5d30eca14767542573a8d3ad4493ed18f361483,ok,True
P000732,http://documents.worldbank.org/curated/en/621451468749078565/text/multi-page.txt,200,380301,9cc5208560cfaf48f55a4a4c84aa04558439cbeb2090b2aad9cd69725f83cb6d,ok,True
P000756,http://documents.worldbank.org/curated/en/621431468770505812/text/multi0page.txt,200,413367,165e51344ecac12dc07933936d79416957696debf0e55daa6d56cb94d85babf7,ok,True
P000825,http://documents.worldbank.org/curated/en/266271468771029498/text/multi0page.txt,200,254185,a12596c986bee985bd9a39271b92bf839f09475cb4175edc994926069929d7ab,ok,True
P000946,http://documents.worldbank.org/curated/en/813781468771068989/text/multi-page.txt,200,330891,b168f973d1a0825d7b72a8d72f181ceb16f3c0b9d2a13e5cd57e00ddc040891b,ok,True
P000970,http://documents.worldbank.org/curated/en/329571468749776196/text/multi0page.txt,200,172685,b0cc272f6f05e0e7daa4eece6f9276e3120ed38922eaf9658043aa31d5532eac,ok,True
P000968,http://documents.worldbank.org/curated/en/995481468771085346/text/multi-page.txt,200,401695,da1077d0aa0c7341548d7779054d05d9e28c8dac777078cce971751ec7c5e987,ok,True
P000974,http://documents.worldbank.org/curated/en/638381468771622789/text/multi-page.txt,200,162152,d6c978bd97a16c3378aca3eb098641817f2424990cee74c8326615910d12e14a,ok,True
P001001,http://documents.worldbank.org/curated/en/611541468771074425/text/multi0page.txt,200,242374,53096396b159a9be9c90cff1aad15368f856e411be6076d62016986448b1f2a2,ok,True
P001074,http://documents.worldbank.org/curated/en/997701468749964833/text/multi-page.txt,200,227034,ccc34426daf9bba5f7ee559f534f9031aa283d50de40098c97d8e11810e87487,ok,True
P001015,http://documents.worldbank.org/curated/en/359001468749075408/text/multi-page.txt,200,165818,851f2b35ad4f5f7cd820aac4236e94186fdf96454f5ddf5274b49509fe87346a,ok,True
P001402,http://documents.worldbank.org/curated/en/628391468756998992/text/multi0page.txt,200,213759,8a30dca0d54dbe9fd762787f50ddb3fbb2dd71fe50115a0565d1fdec7c3e2571,ok,True
P001564,http://documents.worldbank.org/curated/en/334031468757231648/text/multi-page.txt,200,167691,56b0dfbb7bce239ee38c51cc1d0bed5ad60f933b18aa3e990604155dd44579c4,ok,True
P001559,http://documents.worldbank.org/curated/en/561121468777012858/text/multi-page.txt,200,281347,7b1adba4835f510b0a3987be4c6d112a0c68a23f57e79f63e518eaf2636eb1aa,ok,True
P001409,http://documents.worldbank.org/curated/en/623071468772458459/text/multi0page.txt,200,503476,9250ccb738ed39afdc0957956b66cf0421f8a9417d3bb8fde7c7953f89b62537,ok,True
P001670,http://documents.worldbank.org/curated/en/312091468758684378/text/multi-page.txt,200,132633,41b24d90eae18a8519a77932e43e0fd8fe8068ac8b9a7c123a2493c92601f602,ok,True
P001568,http://documents.worldbank.org/curated/en/639541468757193393/text/multi0page.txt,200,176801,a1d7f634f4d9f8d6f3e94ec88aeca9016e5f8e558055e37cfebad5ee5fa61d4d,ok,True
P001666,http://documents.worldbank.org/curated/en/502901468773387580/text/multi-page.txt,200,251264,d778acc0ca02150507e03806950fbb042e9bde407dbbf0905b0063a84da7530f,ok,True
P001748,http://documents.worldbank.org/curated/en/270751468756312439/text/multi-page.txt,200,262710,30c9911d02c6cb512318bdc7c4f0524bb2a0f6b987dca06e35bd7bab123f4d20,ok,True
P001785,http://documents.worldbank.org/curated/en/126651468779683355/text/multi0page.txt,200,311590,02f8d361a60671638d8adf4d16f9ca10f467d0102ac0d26bf4d52a1867715d6a,ok,True
P001786,http://documents.worldbank.org/curated/en/795871468757005080/text/multi-page.txt,200,481019,7de201a25ec4c90e36cbfdc958d762454b4eb515d91011fa95b1b9be995ecabe,ok,True
P001799,http://documents.worldbank.org/curated/en/523851468758086701/text/multi-page.txt,200,259121,f2e6974878ba4765da50f3b9d966466c73f0711647038b9378d55f924ee265f6,ok,True
P001806,http://documents.worldbank.org/curated/en/614621468775149734/text/multi0page.txt,200,371041,02a9254234d6c3ddf27e0a5c7fe4497ab478b59e00016210baf06d0a5a8a17db,ok,True
P001807,http://documents.worldbank.org/curated/en/389181468758089933/text/263650MOZ0idar20031020511.txt,200,307193,0faa813cd46d02765f583410c712bf366565101165809e2ae9eb0eef5b738b9d,ok,True
P001808,http://documents.worldbank.org/curated/en/279851468775176962/text/multi0page.txt,200,279278,0fb4515071a940e3c0ce40cace4ff44e18c509da5f9fcc438284fabe7c44060d,ok,True
P001921,http://documents.worldbank.org/curated/en/463711468757476377/text/multi0page.txt,200,240617,5156362f10a8af145a1bff89fe1fc5339947f08dc07bbaf8e3d50bda9944ec4d,ok,True
P002366,http://documents.worldbank.org/curated/en/227251468777942949/text/multi-page.txt,200,455590,86c95347af919eafec8035dc252b20b871cef340f1f84db40d31278bc2802e95,ok,True
P002804,http://documents.worldbank.org/curated/en/664171468778228204/text/multi-page.txt,200,98447,5d0914ef1859b0f02892cf188ee03ada72436c431340b52c56775cde27068638,ok,True
P002367,http://documents.worldbank.org/curated/en/971361468777555429/text/multi-page.txt,200,400550,76facbac5439036ff078b2aa3b4e7024bea5ee246f9e919b4e1e408eb25d4a63,ok,True
P002797,http://documents.worldbank.org/curated/en/418391468761059141/text/multi0page.txt,200,521550,0fa923089a6419cbb8d20ccd9a00b9c488c30c6aa5143139dfd7b45d8829a737,ok,True
P002952,http://documents.worldbank.org/curated/en/717151468765311304/text/multi0page.txt,200,289533,89d9e3be142104981d2708ef1ebd4cf463b5664951141c41d54f1eadb657a7f6,ok,True
P002984,http://documents.worldbank.org/curated/en/589591468760240369/text/multi0page.txt,200,321887,a43c86df269dab511f75a66028bbd72cbae14709393add7dd2c4f51641aebc27,ok,True
P002970,http://documents.worldbank.org/curated/en/798851468778170365/text/multi-page.txt,200,242122,58ba0b0a8d11370e148db1298a84024ee662319a4898cb863b9d0d247999f6d6,ok,True
P002992,http://documents.worldbank.org/curated/en/247361468765562390/text/multi-page.txt,200,371782,be02fdb8f33e7e7795def7522e2fe16969131edd7fc7571301f17c08a092dcd8,ok,True
P003248,http://documents.worldbank.org/curated/en/153531468763820140/text/multi0page.txt,200,273832,6e553dbdda0aa18926a34c017827a548513ebffc3f08367d874bcaad8cfd0786,ok,True
P003227,http://documents.worldbank.org/curated/en/589541468782080213/text/multi-page.txt,200,206991,44e3922efeca8731edfe3eed53275cbf5529253890b282fe48e054830f4a574c,ok,True
P003249,http://documents.worldbank.org/curated/en/418231468781484352/text/multi-page.txt,200,359366,6cc58b82d8b610b09704fe55425df1e2a1cc9a71ffae60278c63fddf5a9bbd97,ok,True
P003331,http://documents.worldbank.org/curated/en/685011468781170641/text/multi-page.txt,200,138516,eb31797863c553f503a298b3859166bb902c67c9d21df4c9a68723eec5e2fba0,ok,True
P003318,http://documents.worldbank.org/curated/en/424651468764085072/text/multi-page.txt,200,305594,f80e393d6f3cab2d2f88d4762f87a511534b583c954ef82a6feedd39dd9b6fe3,ok,True
P003539,http://documents.worldbank.org/curated/en/589921468769154903/text/multi-page.txt,200,237283,e8348f91dc6e36354b62947da10d7f3085f75cb09ebb66db404f5fcdfc5f326b,ok,True
P003614,http://documents.worldbank.org/curated/en/333391468743673744/text/multi-page.txt,200,172021,d6cc7fe513fcbb70b2f411cdef7997431502f6d1565d05cde1c04f6af7e5ba85,ok,True
P003566,http://documents.worldbank.org/curated/en/406281468769778128/text/multi0page.txt,200,293904,7f5a3fe37c989c29b3762487e3813a495ca68dc02fd31c0f6b100a5ede757b5c,ok,True
P003606,http://documents.worldbank.org/curated/en/463211468743764158/text/multi-page.txt,200,245702,d83e3d76e6989525e03737e715521d159685eafbcab24bd56d6b4a7493379282,ok,True
P003619,http://documents.worldbank.org/curated/en/343461468746663601/text/multi-page.txt,200,214893,27fc20ed0ae0aff70317944d3d263c6149794f2acdae2ecfe3f4b4d564f0206e,ok,True
P003653,http://documents.worldbank.org/curated/en/539611468770426752/text/multi-page.txt,200,307141,3bb9298e92a1428390ce5bb1bf11396e282512de9aec4fd9e23605798a170153,ok,True
P003967,http://documents.worldbank.org/curated/en/948141468771685490/text/multi0page.txt,200,250329,ac912b8b8249c57e2bd5326765aaf499c987796586ce81af6dd9de1463f267bc,ok,True
P003993,http://documents.worldbank.org/curated/en/640981468772804886/text/multi-page.txt,200,167007,101dc40263118d6bd648e1b7f10e18917165f2c980fdcb1926c75e6da3c80933,ok,True
P004030,http://documents.worldbank.org/curated/en/249021468744080506/text/multi-page.txt,200,141820,c1fa7b5925fbcbcbe5cc52078df832a0c1732fb17ec8bd3748d29f41e38de70a,ok,True
P004397,http://documents.worldbank.org/curated/en/262651468775145760/text/multi0page.txt,200,363477,e0e74f0e727f8dfd8fc11e7c1d1a66ab33bea9386fbbb715fc42eca8ab010618,ok,True
P004398,http://documents.worldbank.org/curated/en/472151468780905814/text/R200100203.txt,200,420921,df39aef8795a42420f7430c0ab6b094e2a7a4f43cc395dd4a006e374104815d2,ok,True
P004566,http://documents.worldbank.org/curated/en/520711468776046682/text/multi0page.txt,200,267838,91b56b1b42856f732a9ef6c001c493ddd97e2f7ac7e80d7a19635bbe726a0374,ok,True
