repeat,pooled_auc,within_country_auc
0,0.46876852600377256,0.4436317780580076
1,0.45938532669588283,0.5180327868852459
2,0.5084343842630018,0.5452711223203026
3,0.47317080089066643,0.4554854981084489
4,0.4917755180189763,0.5273644388398486
5,0.46820973209093875,0.47692307692307695
6,0.5086187578890637,0.5029003783102144
7,0.5486363442964728,0.5651954602774275
8,0.49865690904707205,0.5619167717528373
9,0.4942035768483456,0.5341740226986129
10,0.45538016423435307,0.4552332912988651
11,0.5158547135826632,0.501891551071879
12,0.49792508757747245,0.5046658259773014
13,0.46899544738969495,0.42118537200504413
14,0.5478619750670127,0.5099621689785624
15,0.5020266916280192,0.4938209331651955
16,0.555656724673446,0.5263556116015132
17,0.48726829199109334,0.5119798234552333
18,0.49114013813839374,0.5366960907944515
19,0.4533463813130239,0.4105926860025221
