projectid,icr_outratingind,iegapi_outcome,txturl,doc_icr,doc_ieg,note,api_matches_document,repaired_matches_document
P111163,Highly Satisfactory,Highly Satisfactory,http://documents.worldbank.org/curated/en/503161511361496851/text/ICRR-Disclosable-P111163-11-22-2017-1511361483560.txt,Highly Satisfactory,Highly Satisfactory,ok,True,True
P171440,Highly Satisfactory,Highly Satisfactory,https://documents.worldbank.org/curated/en/099082025140536401/text/P171440-aecc61a0-bf4a-48fc-ac84-88fc84b0548e.txt,Highly Satisfactory,Highly Satisfactory,ok,True,True
P156507,Highly Satisfactory,Satisfactory,https://documents.worldbank.org/curated/en/099082025143525758/text/P156507-dc4131f3-08ad-4fa0-85aa-2f9bf974cfdd.txt,Highly Satisfactory,Satisfactory,ok,True,True
P161809,Highly Satisfactory,Highly Satisfactory,http://documents.worldbank.org/curated/en/099082223092511839/text/P1618090cf62fd0810a6f10cd6131cb4ff6.txt,Highly Satisfactory,Highly Satisfactory,ok,True,True
P112759,Highly Satisfactory,Highly Satisfactory,http://documents.worldbank.org/curated/en/732881498764039046/text/ICRR-Disclosable-P112759-06-29-2017-1498764031399.txt,Highly Satisfactory,Highly Satisfactory,ok,True,True
P106161,Highly Satisfactory,Highly Satisfactory,http://documents.worldbank.org/curated/en/209381538346963254/text/Bangladesh-BD-Sec-Educ-Qlty-Access-Enhancement.txt,Highly Satisfactory,Highly Satisfactory,ok,True,True
P154805,Highly Satisfactory,Highly Satisfactory,http://documents.worldbank.org/curated/en/415611630075756217/text/Indonesia-Power-Distribution-Development.txt,Highly Satisfactory,Highly Satisfactory,ok,True,True
P133116,Highly Satisfactory,Highly Satisfactory,http://documents.worldbank.org/curated/en/099245005192218252/text/P1331160f35b7203d0b696048dce1e6ad33.txt,Highly Satisfactory,Highly Satisfactory,ok,True,True
P102398,Highly Satisfactory,Satisfactory,http://documents.worldbank.org/curated/en/613341527196624235/text/Lao-Peoples-Democratic-Republic-LA-Road-Sector-Project.txt,Highly Satisfactory,Satisfactory,ok,True,True
P145533,Highly Satisfactory,Moderately Satisfactory,https://documents.worldbank.org/curated/en/099111124125029548/text/P145533-b1b7b21d-474f-464e-a477-fa6291acbc3e.txt,Highly Satisfactory,Moderately Satisfactory,ok,True,True
P151089,Highly Satisfactory,Highly Satisfactory,http://documents.worldbank.org/curated/en/099050523193524895/text/P15108907471870a10b3d8072e76b1ee068.txt,Highly Satisfactory,Highly Satisfactory,ok,True,True
