approval_year,n,broken_of_per_1k,single_char_token_rate
1996,1,0.0,0.013923388678258595
1997,75,0.0,0.01629890186698396
1998,200,0.0,0.01521247171234599
1999,197,0.0,0.01526676425760741
2000,212,0.0,0.01432307143706169
2001,199,0.0,0.013602107713988114
2002,179,0.0,0.013224437536064837
2003,189,0.0,0.01861217843226677
2004,237,0.3304911097891467,0.06662018746610891
2005,214,0.06977393245883338,0.07063635103285734
2006,205,0.13976240391334732,0.07156114662817076
2007,189,0.1414827391058291,0.07321341079302862
2008,205,0.20201000705151084,0.06342810685318585
2009,177,0.0692258007461061,0.06796163340485897
2010,197,0.0,0.01628621074994012
2011,198,0.0,0.014682588034604606
2012,157,0.0,0.015913474786442547
2013,193,0.0,0.015172801348693454
2014,226,0.0,0.015044521202422959
2015,177,0.0,0.01546936311500151
2016,148,0.0,0.016412490605281264
2017,164,0.0,0.016603380239743875
2018,130,0.0,0.016659498223853545
2019,61,0.0,0.016986657988935894
2020,48,0.0,0.014976068818066162
2021,11,0.0,0.01446080020750924
2022,6,0.0,0.012596505309025632
2023,3,0.0,0.01880746726107551
