model,C,validation_auc
text_structured,0.03,0.5554770437869555
text_structured,0.1,0.5652112469050661
text_structured,0.3,0.5777944850821359
text_structured,1.0,0.5985008648856429
text_structured,3.0,0.6127403873330997
text_structured,10.0,0.6170704683949305
text_structured,30.0,0.6158042305909487
text_structured,100.0,0.6130625996314343
text_structured,300.0,0.6091960520514182
text_only,0.03,0.591036279974223
text_only,0.1,0.601612757345875
text_only,0.3,0.6148178087302574
text_only,1.0,0.6318611434579597
text_only,3.0,0.6392494149303003
text_only,10.0,0.6395829329233135
text_only,30.0,0.6379323015002656
text_only,100.0,0.6360612090309888
text_only,300.0,0.6341788108670336
structured_only,0.03,0.5528145526901901
structured_only,0.1,0.5585748041288398
structured_only,0.3,0.5631875275576308
structured_only,1.0,0.5669523238855411
structured_only,3.0,0.5665170546404223
structured_only,10.0,0.5654147494092774
structured_only,30.0,0.5653016924624934
structured_only,100.0,0.5651716769736916
structured_only,300.0,0.5651829826683701
